Location 	year	month	day	a.m/p.m	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]	lambda11 [?m]	transmission11 [%/100]
Mount Wilson	1905	6	6	p.m	0.4	0.711	0.45	0.8	0.5	0.868	0.6	0.922	0.7	0.957	0.8	0.971	0.9	0.979	1	0.98	1.2	0.984	1.6	0.978	-999	-999
Mount Wilson	1905	6	7	a.m	0.4	0.755	0.45	0.814	0.5	0.854	0.6	0.905	0.7	0.935	0.8	0.958	0.9	0.973	1	0.98	1.2	0.986	1.6	0.995	-999	-999
Mount Wilson	1905	6	13	p.m	0.4	0.734	0.45	0.805	0.5	0.943	0.6	0.885	0.7	0.914	0.8	0.945	0.9	0.961	1	0.968	1.2	0.975	1.6	0.98	-999	-999
Mount Wilson	1905	6	14	a.m	0.4	0.765	0.45	0.832	0.5	0.875	0.6	0.924	0.7	0.953	0.8	0.97	0.9	0.978	1	0.983	1.2	0.987	1.6	0.994	-999	-999
Mount Wilson	1905	6	17	a.m	0.4	0.736	0.45	0.81	0.5	0.862	0.6	0.904	0.7	0.935	0.8	0.959	0.9	0.975	1	0.98	1.2	0.98	1.6	0.978	-999	-999
Mount Wilson	1905	6	20	p.m	0.4	0.682	0.45	0.756	0.5	0.751	0.6	0.869	0.7	0.918	0.8	0.942	0.9	0.955	1	0.963	1.2	0.972	1.6	0.981	-999	-999
Mount Wilson	1905	6	23	a.m	0.4	0.798	0.45	0.845	0.5	0.894	0.6	0.97	0.7	0.985	0.8	0.993	0.9	0.993	1	0.995	1.2	0.996	1.6	0.996	-999	-999
Mount Wilson	1905	6	26	p.m	0.4	0.727	0.45	0.803	0.5	0.853	0.6	0.925	0.7	0.97	0.8	0.99	0.9	0.995	1	0.995	1.2	0.995	1.6	0.99	-999	-999
Mount Wilson	1905	6	28	a.m	0.4	0.78	0.45	0.843	0.5	0.886	0.6	0.932	0.7	0.962	0.8	0.974	0.9	0.98	1	0.982	1.2	0.985	1.6	0.986	-999	-999
Mount Wilson	1905	7	3	a.m	0.4	0.773	0.45	0.845	0.5	0.885	0.6	0.935	0.7	0.96	0.8	0.97	0.9	0.973	1	0.974	1.2	0.975	1.6	0.975	-999	-999
Mount Wilson	1905	7	6	p.m	0.4	0.655	0.45	0.766	0.5	0.832	0.6	0.89	0.7	0.927	0.8	0.946	0.9	0.959	1	0.97	1.2	0.974	1.6	0.981	-999	-999
Mount Wilson	1905	7	10	a.m	0.4	0.711	0.45	0.788	0.5	0.834	0.6	0.889	0.7	0.923	0.8	0.951	0.9	0.964	1	0.97	1.2	0.975	1.6	0.982	-999	-999
Mount Wilson	1905	7	11	p.m	0.4	0.689	0.45	0.792	0.5	0.846	0.6	0.902	0.7	0.938	0.8	0.961	0.9	0.975	1	0.977	1.2	0.977	1.6	0.974	-999	-999
Mount Wilson	1905	7	12	-999	0.4	0.736	0.45	0.803	0.5	0.847	0.6	0.903	0.7	0.943	0.8	0.957	0.9	0.966	1	0.975	1.2	0.983	1.6	0.986	-999	-999
Mount Wilson	1905	7	19	p.m	0.4	0.735	0.45	0.794	0.5	0.837	0.6	0.895	0.7	0.921	0.8	0.936	0.9	0.95	1	0.955	1.2	0.962	1.6	0.97	-999	-999
Mount Wilson	1905	7	21	p.m	0.4	0.73	0.45	0.785	0.5	0.832	0.6	0.884	0.7	0.928	0.8	0.948	0.9	0.957	1	0.965	1.2	0.969	1.6	0.974	-999	-999
