Location	year	month	day	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]	lambda11 [?m]	transmission11 [%/100]	lambda12 [?m]	transmission12 [%/100]	lambda13 [?m]	transmission13 [%/100]	lambda14 [?m]	transmission14 [%/100]	lambda15 [?m]	transmission15 [%/100]	lambda16 [?m]	transmission16 [%/100]	lambda17 [?m]	transmission17 [%/100]	lambda18 [?m]	transmission18 [%/100]	lambda19 [?m]	transmission19 [%/100]	lambda20 [?m]	transmission20 [%/100]	lambda21 [?m]	transmission21 [%/100]	lambda22 [?m]	transmission22 [%/100]	lambda23 [?m]	transmission23 [%/100]	lambda24 [?m]	transmission24 [%/100]	lambda25 [?m]	transmission25 [%/100]	lambda26 [?m]	transmission26 [%/100]	lambda27 [?m]	transmission27 [%/100]	lambda28 [?m]	transmission28 [%/100]	lambda29 [?m]	transmission29 [%/100]	lambda30 [?m]	transmission30 [%/100]	lambda31 [?m]	transmission31 [%/100]	lambda32 [?m]	transmission32 [%/100]	lambda33 [?m]	transmission33 [%/100]	lambda34 [?m]	transmission34 [%/100]	lambda35 [?m]	transmission35 [%/100]	lambda36 [?m]	transmission36 [%/100]	lambda37 [?m]	transmission37 [%/100]	lambda38 [?m]	transmission38 [%/100]	lambda39 [?m]	transmission39 [%/100]	lambda40 [?m]	transmission40 [%/100]	lambda41 [?m]	transmission41 [%/100]	lambda42 [?m]	transmission42 [%/100]	lambda43 [?m]	transmission43 [%/100]	lambda44 [?m]	transmission44 [%/100]	
Mount Wilson	1905	6	14	0.387	0.668	0.39	0.728	0.3942	0.74	0.3987	0.745	0.4037	0.751	0.4091	0.766	0.4147	0.77	0.421	0.778	0.4275	0.793	0.4343	0.798	0.4417	0.804	0.4494	0.816	0.4578	0.839	0.4666	0.846	0.4762	0.849	0.4861	0.861	0.4974	0.869	0.5094	0.877	0.5226	0.889	0.537	0.887	0.5525	0.893	0.5697	0.892	0.5889	0.9	0.6098	0.908	0.6333	0.92	0.661	0.945	0.6925	0.958	0.728	0.965	0.769	0.967	0.818	0.975	0.877	0.972	0.946	0.981	1.034	0.921	1.127	0.977	1.239	0.986	1.367	0.989	1.508	0.993	1.648	0.976	1.786	-999	1.924	-999	2.06	0.95	2.196	0.983	2.316	0.968	2.428	0.927	
Mount Wilson	1905	7	3	0.387	-999	0.39	-999	0.3942	0.713	0.3987	0.766	0.4037	0.748	0.4091	0.767	0.4147	0.789	0.421	0.792	0.4275	0.798	0.4343	0.828	0.4417	0.834	0.4494	0.838	0.4578	0.841	0.4666	0.855	0.4762	0.865	0.4861	0.875	0.4974	0.873	0.5094	0.895	0.5226	0.893	0.537	0.891	0.5525	0.908	0.5697	0.895	0.5889	0.902	0.6098	0.912	0.6333	0.935	0.661	0.962	0.6925	0.97	0.728	0.973	0.769	0.97	0.818	0.973	0.877	0.97	0.946	0.959	1.034	0.97	1.127	0.975	1.239	0.975	1.367	0.962	1.508	0.982	1.648	0.982	1.786	0.975	1.924	0.98	2.06	0.964	2.196	0.98	2.316	0.953	2.428	0.959	
Mount Wilson	1905	7	25	0.387	-999	0.39	0.692	0.3942	0.656	0.3987	0.705	0.4037	0.695	0.4091	0.71	0.4147	0.705	0.421	0.726	0.4275	0.733	0.4343	0.752	0.4417	0.74	0.4494	0.767	0.4578	0.78	0.4666	0.787	0.4762	0.794	0.4861	0.808	0.4974	0.807	0.5094	0.829	0.5226	0.836	0.537	0.838	0.5525	0.848	0.5697	0.843	0.5889	0.85	0.6098	0.856	0.6333	0.865	0.661	0.887	0.6925	0.91	0.728	0.925	0.769	0.938	0.818	0.946	0.877	0.944	0.946	0.954	1.034	0.96	1.127	0.959	1.239	0.957	1.367	0.966	1.508	0.959	1.648	0.985	1.786	0.972	1.924	0.986	2.06	0.935	2.196	0.971	2.316	0.953	2.428	0.859	
Mount Wilson	1905	8	3	0.387	-999	0.39	0.631	0.3942	0.646	0.3987	0.628	0.4037	0.711	0.4091	0.702	0.4147	0.73	0.421	0.73	0.4275	0.723	0.4343	0.736	0.4417	0.755	0.4494	0.764	0.4578	0.789	0.4666	0.783	0.4762	0.807	0.4861	0.807	0.4974	0.82	0.5094	0.834	0.5226	0.847	0.537	0.845	0.5525	0.853	0.5697	0.863	0.5889	0.871	0.6098	0.879	0.6333	0.893	0.661	0.91	0.6925	0.923	0.728	0.935	0.769	0.948	0.818	0.959	0.877	0.97	0.946	0.98	1.034	0.975	1.127	0.984	1.239	0.975	1.367	0.975	1.508	0.982	1.648	0.98	1.786	0.968	1.924	0.966	2.06	0.966	2.196	0.98	2.316	0.929	2.428	0.975	
Mount Wilson	1905	8	9	0.387	0.661	0.39	0.687	0.3942	0.698	0.3987	0.692	0.4037	0.698	0.4091	0.714	0.4147	0.719	0.421	0.741	0.4275	0.741	0.4343	0.753	0.4417	0.738	0.4494	0.766	0.4578	0.783	0.4666	0.798	0.4762	0.809	0.4861	0.817	0.4974	0.83	0.5094	0.83	0.5226	0.838	0.537	0.847	0.5525	0.855	0.5697	0.861	0.5889	0.84	0.6098	0.865	0.6333	0.881	0.661	0.895	0.6925	0.916	0.728	0.931	0.769	0.94	0.818	0.951	0.877	0.955	0.946	0.957	1.034	0.968	1.127	0.966	1.239	0.97	1.367	0.977	1.508	0.973	1.648	0.982	1.786	0.991	1.924	0.986	2.06	0.938	2.196	0.962	2.316	0.929	2.428	0.822	
Mount Wilson	1905	8	14	0.387	-999	0.39	0.678	0.3942	0.719	0.3987	0.723	0.4037	0.714	0.4091	0.724	0.4147	0.745	0.421	0.755	0.4275	0.757	0.4343	0.776	0.4417	0.787	0.4494	0.813	0.4578	0.809	0.4666	0.813	0.4762	0.824	0.4861	0.834	0.4974	0.853	0.5094	0.871	0.5226	0.869	0.537	0.879	0.5525	0.891	0.5697	0.885	0.5889	0.877	0.6098	0.881	0.6333	0.904	0.661	0.912	0.6925	0.94	0.728	0.946	0.769	0.968	0.818	0.959	0.877	0.962	0.946	0.966	1.034	0.973	1.127	0.975	1.239	0.973	1.367	0.977	1.508	0.977	1.648	0.973	1.786	0.955	1.924	0.973	2.06	0.944	2.196	0.953	2.316	0.955	2.428	0.887	
Mount Wilson	1905	9	14	0.387	-999	0.39	0.668	0.3942	0.734	0.3987	0.743	0.4037	0.747	0.4091	0.747	0.4147	0.759	0.421	0.769	0.4275	0.778	0.4343	0.813	0.4417	0.807	0.4494	0.824	0.4578	0.836	0.4666	0.849	0.4762	0.845	0.4861	0.863	0.4974	0.859	0.5094	0.873	0.5226	0.871	0.537	0.877	0.5525	0.879	0.5697	0.877	0.5889	0.881	0.6098	0.897	0.6333	0.914	0.661	0.933	0.6925	0.953	0.728	0.955	0.769	0.955	0.818	0.968	0.877	0.976	0.946	0.973	1.034	0.968	1.127	0.973	1.239	0.977	1.367	0.977	1.508	0.982	1.648	0.977	1.786	0.982	1.924	0.98	2.06	0.955	2.196	0.967	2.316	0.964	2.428	0.925	
Mount Wilson	1905	9	27	0.387	-999	0.39	0.733	0.3942	0.762	0.3987	0.755	0.4037	0.767	0.4091	0.769	0.4147	0.778	0.421	0.796	0.4275	0.805	0.4343	0.809	0.4417	0.807	0.4494	0.841	0.4578	0.853	0.4666	0.855	0.4762	0.865	0.4861	0.861	0.4974	0.877	0.5094	0.885	0.5226	0.889	0.537	0.99	0.5525	0.9	0.5697	0.893	0.5889	0.893	0.6098	0.912	0.6333	0.923	0.661	0.94	0.6925	0.955	0.728	0.957	0.769	0.964	0.818	0.964	0.877	0.966	0.946	0.968	1.034	0.97	1.127	0.973	1.239	0.968	1.367	0.973	1.508	0.977	1.648	0.977	1.786	0.975	1.924	0.989	2.06	0.982	2.196	0.991	2.316	0.991	2.428	0.942	
Mount Wilson	1905	10	10	0.387	0.723	0.39	0.711	0.3942	0.708	0.3987	0.748	0.4037	0.755	0.4091	0.769	0.4147	0.767	0.421	0.785	0.4275	0.811	0.4343	0.82	0.4417	0.817	0.4494	0.84	0.4578	0.847	0.4666	0.849	0.4762	0.855	0.4861	0.861	0.4974	0.867	0.5094	0.887	0.5226	0.887	0.537	0.895	0.5525	0.9	0.5697	0.897	0.5889	0.897	0.6098	0.897	0.6333	0.91	0.661	0.931	0.6925	0.942	0.728	0.946	0.769	0.962	0.818	0.962	0.877	0.98	0.946	0.966	1.034	0.991	1.127	0.986	1.239	0.975	1.367	0.993	1.508	-999	1.648	0.933	1.786	0.991	1.924	0.991	2.06	0.995	2.196	0.989	2.316	0.989	2.428	0.964	
Mount Wilson	1905	10	18	0.387	-999	0.39	0.676	0.3942	0.728	0.3987	0.759	0.4037	0.773	0.4091	0.773	0.4147	0.778	0.421	0.8	0.4275	0.817	0.4343	0.817	0.4417	0.828	0.4494	0.834	0.4578	0.849	0.4666	0.865	0.4762	0.863	0.4861	0.877	0.4974	0.871	0.5094	0.891	0.5226	0.885	0.537	0.887	0.5525	0.898	0.5697	0.904	0.5889	0.92	0.6098	0.927	0.6333	0.942	0.661	0.946	0.6925	0.942	0.728	0.964	0.769	0.964	0.818	0.966	0.877	0.973	0.946	0.97	1.034	0.97	1.127	0.97	1.239	0.98	1.367	0.991	1.508	0.986	1.648	0.986	1.786	0.984	1.924	0.993	2.06	0.968	2.196	0.98	2.316	0.902	2.428	-999	
