Location	year	month	day	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]	lambda11 [?m]	transmission11 [%/100]	lambda12 [?m]	transmission12 [%/100]	lambda13 [?m]	transmission13 [%/100]	lambda14 [?m]	transmission14 [%/100]	lambda15 [?m]	transmission15 [%/100]	lambda16 [?m]	transmission16 [%/100]	lambda17 [?m]	transmission17 [%/100]	lambda18 [?m]	transmission18 [%/100]	lambda19 [?m]	transmission19 [%/100]	lambda20 [?m]	transmission20 [%/100]	lambda21 [?m]	transmission21 [%/100]	lambda22 [?m]	transmission22 [%/100]	lambda23 [?m]	transmission23 [%/100]	lambda24 [?m]	transmission24 [%/100]	lambda25 [?m]	transmission25 [%/100]	lambda26 [?m]	transmission26 [%/100]	lambda27 [?m]	transmission27 [%/100]	lambda28 [?m]	transmission28 [%/100]	lambda29 [?m]	transmission29 [%/100]	lambda30 [?m]	transmission30 [%/100]	lambda31 [?m]	transmission31 [%/100]	lambda32 [?m]	transmission32 [%/100]	lambda33 [?m]	transmission33 [%/100]	lambda34 [?m]	transmission34 [%/100]	lambda35 [?m]	transmission35 [%/100]	lambda36 [?m]	transmission36 [%/100]	lambda37 [?m]	transmission37 [%/100]	lambda38 [?m]	transmission38 [%/100]	lambda39 [?m]	transmission39 [%/100]	lambda40 [?m]	transmission40 [%/100]	lambda41 [?m]	transmission41 [%/100]	lambda42 [?m]	transmission42 [%/100]	lambda43 [?m]	transmission43 [%/100]	lambda44 [?m]	transmission44 [%/100]
Washington	1903	3	26	0.387	0.409	0.39	0.46	0.3942	0.495	0.3987	0.52	0.4037	0.53	0.4091	0.542	0.4147	0.5	0.421	0.556	0.4275	0.561	0.4343	0.578	0.4417	0.575	0.4494	0.572	0.4578	0.575	0.4666	0.58	0.4762	0.592	0.4861	0.606	0.4974	0.615	0.5094	0.63	0.5226	0.642	0.537	0.65	0.5525	0.661	0.5697	0.68	0.5889	0.71	0.6098	0.74	0.6333	0.765	0.661	0.775	0.6925	0.79	0.728	0.805	0.769	0.81	0.818	0.82	0.877	0.83	0.946	0.842	1.034	0.855	1.127	0.87	1.239	0.89	1.367	-999	1.508	-999	1.648	-999	1.786	0.92	1.924	-999	2.06	-999	2.196	-999	2.316	-999	2.428	-999
Washington	1903	4	29	0.387	0.4	0.39	0.415	0.3942	0.43	0.3987	0.44	0.4037	0.45	0.4091	0.466	0.4147	0.45	0.421	0.449	0.4275	0.445	0.4343	0.445	0.4417	0.466	0.4494	0.486	0.4578	0.51	0.4666	0.543	0.4762	0.535	0.4861	0.543	0.4974	0.55	0.5094	0.56	0.5226	0.57	0.537	0.59	0.5525	0.603	0.5697	0.62	0.5889	0.643	0.6098	0.66	0.6333	0.68	0.661	0.69	0.6925	0.723	0.728	0.73	0.769	0.755	0.818	0.765	0.877	0.766	0.946	0.79	1.034	0.808	1.127	0.82	1.239	0.833	1.367	0.855	1.508	0.87	1.648	-999	1.786	-999	1.924	-999	2.06	0.865	2.196	-999	2.316	-999	2.428	-999
Washington	1903	7	7	0.387	0.344	0.39	0.419	0.3942	0.43	0.3987	0.445	0.4037	0.467	0.4091	0.496	0.4147	0.49	0.421	0.494	0.4275	0.5	0.4343	0.526	0.4417	0.57	0.4494	0.621	0.4578	0.603	0.4666	0.649	0.4762	0.621	0.4861	0.608	0.4974	0.631	0.5094	0.645	0.5226	0.66	0.537	0.67	0.5525	0.646	0.5697	0.665	0.5889	0.671	0.6098	0.69	0.6333	0.71	0.661	0.73	0.6925	0.767	0.728	0.797	0.769	0.815	0.818	0.83	0.877	0.842	0.946	0.853	1.034	0.87	1.127	0.875	1.239	0.875	1.367	0.882	1.508	0.893	1.648	0.885	1.786	0.873	1.924	0.86	2.06	0.85	2.196	0.847	2.316	-999	2.428	-999
Washington	1903	8	24	0.387	-999	0.39	0.326	0.3942	0.37	0.3987	0.4	0.4037	0.436	0.4091	0.389	0.4147	0.566	0.421	0.479	0.4275	0.494	0.4343	0.466	0.4417	0.473	0.4494	0.515	0.4578	0.535	0.4666	0.522	0.4762	0.476	0.4861	0.575	0.4974	0.6	0.5094	0.59	0.5226	0.6	0.537	0.62	0.5525	0.658	0.5697	0.67	0.5889	0.689	0.6098	0.69	0.6333	0.715	0.661	0.74	0.6925	0.72	0.728	0.8	0.769	0.82	0.818	0.843	0.877	0.85	0.946	0.86	1.034	0.87	1.127	0.875	1.239	0.885	1.367	0.9	1.508	0.902	1.648	0.905	1.786	0.907	1.924	0.91	2.06	0.91	2.196	0.867	2.316	-999	2.428	-999
Washington	1903	10	29	0.387	0.532	0.39	0.53	0.3942	0.54	0.3987	0.54	0.4037	0.522	0.4091	0.54	0.4147	0.544	0.421	0.564	0.4275	0.564	0.4343	0.569	0.4417	0.586	0.4494	0.599	0.4578	0.586	0.4666	0.641	0.4762	0.6	0.4861	0.605	0.4974	0.64	0.5094	0.66	0.5226	0.68	0.537	0.71	0.5525	0.731	0.5697	0.735	0.5889	0.743	0.6098	0.758	0.6333	0.775	0.661	0.787	0.6925	0.795	0.728	0.807	0.769	0.817	0.818	0.82	0.877	0.83	0.946	0.813	1.034	0.848	1.127	0.865	1.239	0.883	1.367	0.89	1.508	0.905	1.648	0.915	1.786	-999	1.924	-999	2.06	-999	2.196	-999	2.316	-999	2.428	-999
Washington	1904	10	21	0.387	0.462	0.39	0.516	0.3942	0.556	0.3987	0.585	0.4037	0.6	0.4091	0.629	0.4147	0.665	0.421	0.707	0.4275	0.701	0.4343	0.716	0.4417	0.712	0.4494	0.738	0.4578	0.715	0.4666	0.702	0.4762	0.735	0.4861	0.755	0.4974	0.76	0.5094	0.773	0.5226	0.778	0.537	0.79	0.5525	0.803	0.5697	0.814	0.5889	0.816	0.6098	0.845	0.6333	0.865	0.661	0.89	0.6925	0.91	0.728	0.915	0.769	0.915	0.818	0.92	0.877	0.938	0.946	0.945	1.034	0.955	1.127	0.963	1.239	0.97	1.367	-999	1.508	0.893	1.648	-999	1.786	-970	1.924	-930	2.06	-937	2.196	-999	2.316	-999	2.428	-999
Washington	1905	1	26	0.387	0.427	0.39	0.468	0.3942	0.525	0.3987	0.6	0.4037	0.583	0.4091	0.603	0.4147	0.628	0.421	0.631	0.4275	0.646	0.4343	0.708	0.4417	0.7	0.4494	0.723	0.4578	0.731	0.4666	0.74	0.4762	0.769	0.4861	0.771	0.4974	0.771	0.5094	0.766	0.5226	0.785	0.537	0.774	0.5525	0.807	0.5697	0.8	0.5889	0.782	0.6098	0.774	0.6333	0.796	0.661	0.863	0.6925	0.84	0.728	0.904	0.769	0.887	0.818	0.904	0.877	0.904	0.946	0.893	1.034	0.902	1.127	0.9	1.239	0.904	1.367	0.897	1.508	0.916	1.648	0.923	1.786	0.918	1.924	0.925	2.06	0.925	2.196	0.951	2.316	0.847	2.428	0.986
Washington	1905	6	3	0.387	0.483	0.39	0.44	0.3942	0.448	0.3987	0.451	0.4037	0.46	0.4091	0.497	0.4147	0.485	0.421	0.471	0.4275	0.497	0.4343	0.564	0.4417	0.568	0.4494	0.538	0.4578	0.587	0.4666	0.587	0.4762	0.57	0.4861	0.61	0.4974	0.661	0.5094	0.618	0.5226	0.638	0.537	0.66	0.5525	0.682	0.5697	0.711	0.5889	0.733	0.6098	0.752	0.6333	0.753	0.661	0.775	0.6925	0.786	0.728	0.8	0.769	0.82	0.818	0.838	0.877	0.87	0.946	0.89	1.034	0.918	1.127	0.925	1.239	0.935	1.367	0.94	1.508	0.968	1.648	0.94	1.786	0.91	1.924	0.89	2.06	0.89	2.196	0.897	2.316	0.897	2.428	0.897
Washington	1905	9	19	0.387	0.438	0.39	0.476	0.3942	0.468	0.3987	0.542	0.4037	0.575	0.4091	0.611	0.4147	0.597	0.421	0.659	0.4275	0.69	0.4343	0.679	0.4417	0.721	0.4494	0.702	0.4578	0.702	0.4666	0.738	0.4762	0.78	0.4861	0.809	0.4974	0.791	0.5094	0.805	0.5226	0.813	0.537	0.822	0.5525	0.783	0.5697	0.787	0.5889	0.805	0.6098	0.817	0.6333	0.873	0.661	0.927	0.6925	0.933	0.728	0.944	0.769	0.914	0.818	0.933	0.877	0.942	0.946	0.975	1.034	0.938	1.127	0.935	1.239	0.935	1.367	0.933	1.508	0.927	1.648	0.929	1.786	0.906	1.924	0.867	2.06	0.885	2.196	0.887	2.316	0.849	2.428	0.959
Washington	1905	9	26	0.387	-999	0.39	-999	0.3942	-999	0.3987	0.631	0.4037	0.618	0.4091	0.634	0.4147	0.667	0.421	0.643	0.4275	0.637	0.4343	0.655	0.4417	0.662	0.4494	0.695	0.4578	0.705	0.4666	0.743	0.4762	0.75	0.4861	0.752	0.4974	0.755	0.5094	0.769	0.5226	0.787	0.537	0.787	0.5525	0.796	0.5697	0.798	0.5889	0.805	0.6098	0.805	0.6333	0.828	0.661	0.863	0.6925	0.869	0.728	0.869	0.769	0.887	0.818	0.897	0.877	0.891	0.946	-999	1.034	-999	1.127	0.887	1.239	0.891	1.367	0.889	1.508	0.91	1.648	0.891	1.786	0.935	1.924	0.877	2.06	0.902	2.196	0.851	2.316	0.841	2.428	0.9
Washington	1905	10	4	0.387	-999	0.39	0.507	0.3942	0.631	0.3987	0.643	0.4037	0.631	0.4091	0.617	0.4147	0.631	0.421	-999	0.4275	0.617	0.4343	0.65	0.4417	0.646	0.4494	0.676	0.4578	0.69	0.4666	0.684	0.4762	0.692	0.4861	0.725	0.4974	0.743	0.5094	0.736	0.5226	0.74	0.537	0.746	0.5525	0.75	0.5697	0.759	0.5889	0.776	0.6098	0.779	0.6333	0.771	0.661	0.759	0.6925	0.811	0.728	0.824	0.769	0.826	0.818	0.832	0.877	0.851	0.946	0.863	1.034	0.873	1.127	0.881	1.239	0.881	1.367	0.885	1.508	0.897	1.648	0.951	1.786	0.938	1.924	0.925	2.06	0.891	2.196	0.885	2.316	0.975	2.428	-999
Washington	1905	11	1	0.387	-999	0.39	-999	0.3942	-999	0.3987	-999	0.4037	0.586	0.4091	0.575	0.4147	0.575	0.421	0.581	0.4275	0.631	0.4343	0.652	0.4417	0.678	0.4494	0.655	0.4578	0.67	0.4666	0.67	0.4762	0.681	0.4861	0.708	0.4974	0.71	0.5094	0.745	0.5226	0.746	0.537	0.769	0.5525	0.78	0.5697	0.776	0.5889	0.783	0.6098	0.782	0.6333	0.807	0.661	0.826	0.6925	0.865	0.728	0.875	0.769	0.893	0.818	0.916	0.877	0.933	0.946	0.933	1.034	0.955	1.127	0.962	1.239	0.973	1.367	0.955	1.508	0.982	1.648	0.971	1.786	0.964	1.924	0.938	2.06	0.959	2.196	0.962	2.316	0.916	2.428	0.798
Washington	1905	12	4	0.387	-999	0.39	-999	0.3942	-999	0.3987	0.589	0.4037	0.601	0.4091	0.611	0.4147	0.604	0.421	0.586	0.4275	0.598	0.4343	0.641	0.4417	0.641	0.4494	0.637	0.4578	0.655	0.4666	0.664	0.4762	0.674	0.4861	0.697	0.4974	0.711	0.5094	0.718	0.5226	0.724	0.537	0.726	0.5525	0.711	0.5697	0.708	0.5889	0.726	0.6098	0.733	0.6333	0.741	0.661	0.76	0.6925	0.794	0.728	0.817	0.769	0.83	0.818	0.849	0.877	0.879	0.946	0.893	1.034	0.916	1.127	0.935	1.239	0.923	1.367	0.933	1.508	-999	1.648	0.962	1.786	0.962	1.924	0.97	2.06	0.84	2.196	0.982	2.316	0.977	2.428	0.975
