Location	year	month	day	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]	lambda11 [?m]	transmission11 [%/100]	lambda12 [?m]	transmission12 [%/100]	lambda13 [?m]	transmission13 [%/100]	lambda14 [?m]	transmission14 [%/100]	lambda15 [?m]	transmission15 [%/100]	lambda16 [?m]	transmission16 [%/100]	lambda17 [?m]	transmission17 [%/100]	lambda18 [?m]	transmission18 [%/100]	lambda19 [?m]	transmission19 [%/100]	lambda20 [?m]	transmission20 [%/100]	lambda21 [?m]	transmission21 [%/100]	lambda22 [?m]	transmission22 [%/100]	lambda23 [?m]	transmission23 [%/100]	lambda24 [?m]	transmission24 [%/100]	lambda25 [?m]	transmission25 [%/100]	lambda26 [?m]	transmission26 [%/100]	lambda27 [?m]	transmission27 [%/100]	lambda28 [?m]	transmission28 [%/100]	lambda29 [?m]	transmission29 [%/100]	lambda30 [?m]	transmission30 [%/100]	lambda31 [?m]	transmission31 [%/100]	lambda32 [?m]	transmission32 [%/100]	lambda33 [?m]	transmission33 [%/100]	lambda34 [?m]	transmission34 [%/100]	lambda35 [?m]	transmission35 [%/100]	lambda36 [?m]	transmission36 [%/100]	lambda37 [?m]	transmission37 [%/100]	lambda38 [?m]	transmission38 [%/100]
Bassour, Algeria	1911	8	30	0.3063	-999	0.3137	-999	0.3218	0.745	0.3306	0.588	0.3404	0.575	0.3513	0.57	0.3635	0.564	0.3783	0.585	0.3965	0.603	0.4163	0.713	0.4387	0.719	0.4644	0.787	0.4946	0.814	0.5325	0.856	0.5827	0.871	0.6148	0.888	0.6495	0.91	0.9885	0.933	0.734	0.957	0.784	0.963	0.845	0.976	0.9155	0.975	0.995	0.944	1.084	0.977	1.178	0.983	1.274	0.983	1.368	0.991	1.464	0.989	1.556	0.99	1.645	0.99	1.733	0.989	1.817	0.987	1.898	0.981	1.975	0.975	2.049	0.968	2.12	0.98	2.255	0.98	2.392	0.901
Bassour, Algeria	1911	9	4	0.3063	0.6	0.3137	0.596	0.3218	0.513	0.3306	0.474	0.3404	0.476	0.3513	0.489	0.3635	0.555	0.3783	0.595	0.3965	0.631	0.4163	0.649	0.4387	0.69	0.4644	0.73	0.4946	0.785	0.5325	0.822	0.5827	0.855	0.6148	0.876	0.6495	0.902	0.9885	0.925	0.734	0.951	0.784	0.963	0.845	0.973	0.9155	0.974	0.995	0.962	1.084	0.955	1.178	0.96	1.274	0.972	1.368	0.981	1.464	0.969	1.556	0.971	1.645	0.97	1.733	0.955	1.817	0.969	1.898	0.965	1.975	0.954	2.049	0.944	2.12	0.946	2.255	0.935	2.392	0.751
Bassour, Algeria	1911	9	25	0.3063	-999	0.3137	0.776	0.3218	0.698	0.3306	0.617	0.3404	0.603	0.3513	0.618	0.3635	0.646	0.3783	0.693	0.3965	0.726	0.4163	0.73	0.4387	0.769	0.4644	0.817	0.4946	0.847	0.5325	0.875	0.5827	0.893	0.6148	0.909	0.6495	0.93	0.9885	0.949	0.734	0.962	0.784	0.965	0.845	0.976	0.9155	0.987	0.995	0.989	1.084	0.996	1.178	0.998	1.274	0.996	1.368	0.989	1.464	0.987	1.556	0.986	1.645	0.987	1.733	0.991	1.817	0.997	1.898	0.989	1.975	0.974	2.049	0.966	2.12	0.961	2.255	0.976	2.392	0.969
Bassour, Algeria	1911	10	3	0.3063	0.865	0.3137	0.827	0.3218	0.733	0.3306	0.626	0.3404	0.603	0.3513	0.605	0.3635	0.627	0.3783	0.648	0.3965	0.724	0.4163	0.745	0.4387	0.757	0.4644	0.803	0.4946	0.842	0.5325	0.857	0.5827	0.871	0.6148	0.889	0.6495	0.909	0.9885	0.926	0.734	0.938	0.784	0.951	0.845	0.961	0.9155	0.966	0.995	0.968	1.084	0.968	1.178	0.969	1.274	0.969	1.368	0.968	1.464	0.968	1.556	0.97	1.645	0.975	1.733	0.982	1.817	0.985	1.898	0.981	1.975	0.976	2.049	0.97	2.12	0.964	2.255	0.947	2.392	0.937
Bassour, Algeria	1911	11	7	0.3063	0.865	0.3137	0.716	0.3218	0.662	0.3306	0.569	0.3404	0.565	0.3513	0.591	0.3635	0.621	0.3783	0.673	0.3965	0.71	0.4163	0.739	0.4387	0.774	0.4644	0.817	0.4946	0.854	0.5325	0.87	0.5827	0.889	0.6148	0.903	0.6495	0.917	0.9885	0.93	0.734	0.944	0.784	0.958	0.845	0.972	0.9155	0.982	0.995	0.986	1.084	0.982	1.178	0.976	1.274	0.975	1.368	0.98	1.464	0.98	1.556	0.982	1.645	0.982	1.733	0.977	1.817	0.979	1.898	0.981	1.975	0.982	2.049	0.98	2.12	0.973	2.255	0.965	2.392	0.88
Bassour, Algeria	1912	6	2	0.3063	0.879	0.3137	0.824	0.3218	0.589	0.3306	0.556	0.3404	0.543	0.3513	0.562	0.3635	0.582	0.3783	0.647	0.3965	0.736	0.4163	0.678	0.4387	0.716	0.4644	0.791	0.4946	0.813	0.5325	0.813	0.5827	0.834	0.6148	0.849	0.6495	0.879	0.9885	0.904	0.734	0.914	0.784	0.927	0.845	0.929	0.9155	0.94	0.995	0.948	1.084	0.946	1.178	0.953	1.274	0.968	1.368	0.982	1.464	0.975	1.556	0.975	1.645	0.97	1.733	0.973	1.817	0.975	1.898	0.982	1.975	0.982	2.049	0.964	2.12	0.946	2.255	0.923	2.392	0.748
Bassour, Algeria	1912	6	9	0.3063	0.708	0.3137	0.575	0.3218	0.434	0.3306	0.491	0.3404	0.537	0.3513	0.589	0.3635	0.646	0.3783	0.624	0.3965	0.692	0.4163	0.741	0.4387	0.766	0.4644	0.809	0.4946	0.855	0.5325	0.859	0.5827	0.867	0.6148	0.897	0.6495	0.897	0.9885	0.925	0.734	0.933	0.784	0.948	0.845	0.959	0.9155	0.955	0.995	0.957	1.084	0.959	1.178	0.955	1.274	0.959	1.368	0.951	1.464	0.959	1.556	0.968	1.645	0.962	1.733	0.957	1.817	0.951	1.898	0.948	1.975	0.923	2.049	0.897	2.12	0.887	2.255	0.933	2.392	0.974
Bassour, Algeria	1912	6	15	0.3063	-999	0.3137	-999	0.3218	0.486	0.3306	0.482	0.3404	0.527	0.3513	0.562	0.3635	0.575	0.3783	0.641	0.3965	0.668	0.4163	0.733	0.4387	0.75	0.4644	0.776	0.4946	0.832	0.5325	0.841	0.5827	0.861	0.6148	0.873	0.6495	0.902	0.9885	0.929	0.734	0.94	0.784	0.962	0.845	0.966	0.9155	0.964	0.995	0.98	1.084	0.977	1.178	0.957	1.274	0.948	1.368	0.942	1.464	0.944	1.556	0.968	1.645	0.975	1.733	0.984	1.817	0.97	1.898	0.966	1.975	0.966	2.049	0.97	2.12	0.98	2.255	0.838	2.392	0.818
Bassour, Algeria	1912	6	17	0.3063	0.794	0.3137	0.631	0.3218	0.603	0.3306	0.575	0.3404	0.582	0.3513	0.617	0.3635	0.638	0.3783	0.668	0.3965	0.701	0.4163	0.745	0.4387	0.778	0.4644	0.792	0.4946	0.849	0.5325	0.873	0.5827	0.895	0.6148	0.895	0.6495	0.908	0.9885	0.918	0.734	0.938	0.784	0.962	0.845	0.962	0.9155	0.97	0.995	0.973	1.084	0.973	1.178	0.975	1.274	0.968	1.368	0.977	1.464	0.975	1.556	0.97	1.645	0.962	1.733	0.973	1.817	0.962	1.898	0.973	1.975	0.962	2.049	0.968	2.12	0.959	2.255	-999	2.392	0.818
Bassour, Algeria	Mean	-999	-999	0.3063	0.785	0.3137	0.706	0.3218	0.607	0.3306	0.553	0.3404	0.557	0.3513	0.578	0.3635	0.611	0.3783	0.642	0.3965	0.688	0.4163	0.719	0.4387	0.747	0.4644	0.791	0.4946	0.832	0.5325	0.852	0.5827	0.871	0.6148	0.887	0.6495	0.906	0.9885	0.927	0.734	0.942	0.784	0.955	0.845	0.964	0.9155	0.968	0.995	0.967	1.084	0.97	1.178	0.97	1.274	0.971	1.368	0.973	1.464	0.972	1.556	0.976	1.645	0.975	1.733	0.976	1.817	0.975	1.898	0.973	1.975	0.966	2.049	0.956	2.12	0.955	2.255	0.937	2.392	0.855
