Location	year	month	day	a.m/p.m	lambda1 [?m]	transmission1 [%/100]	lambda2 [?m]	transmission2 [%/100]	lambda3 [?m]	transmission3 [%/100]	lambda4 [?m]	transmission4 [%/100]	lambda5 [?m]	transmission5 [%/100]	lambda6 [?m]	transmission6 [%/100]	lambda7 [?m]	transmission7 [%/100]	lambda8 [?m]	transmission8 [%/100]	lambda9 [?m]	transmission9 [%/100]	lambda10 [?m]	transmission10 [%/100]
Table Mountain	1925	12	6	-999	0.348	0.658	0.391	0.74	0.446	0.809	0.497	0.881	0.615	0.92	0.724	0.962	0.817	0.976	0.994	0.983	1.225	0.982	1.6	0.992
Table Mountain	1925	12	7	-999	0.348	0.655	0.391	0.75	0.446	0.832	0.497	0.892	0.615	0.927	0.724	0.972	0.817	0.98	0.994	0.985	1.225	0.978	1.6	0.992
Table Mountain	1925	12	9	-999	0.348	0.651	0.391	0.745	0.446	0.836	0.497	0.885	0.615	0.923	0.724	0.97	0.817	0.98	0.994	0.982	1.225	0.982	1.6	0.99
Table Mountain	1925	12	10	-999	0.348	0.0666	0.391	0.749	0.446	0.828	0.497	0.888	0.615	0.923	0.724	0.971	0.817	0.982	0.994	0.991	1.225	0.987	1.6	0.994
Table Mountain	1925	12	11	-999	0.348	0.656	0.391	0.745	0.446	0.835	0.497	0.881	0.615	0.919	0.724	0.972	0.817	0.98	0.994	0.989	1.225	0.987	1.6	0.994
Table Mountain	1925	12	13	-999	0.348	0.665	0.391	0.745	0.446	0.823	0.497	0.882	0.615	0.918	0.724	0.974	0.817	0.979	0.994	0.985	1.225	0.978	1.6	0.99
Table Mountain	1925	12	14	-999	0.348	0.64	0.391	0.754	0.446	0.823	0.497	0.887	0.615	0.926	0.724	0.968	0.817	0.974	0.994	0.985	1.225	0.98	1.6	0.987
Table Mountain	1925	12	16	-999	0.348	0.646	0.391	0.752	0.446	0.832	0.497	0.88	0.615	0.931	0.724	0.975	0.817	0.982	0.994	0.989	1.225	0.986	1.6	0.992
Table Mountain	1925	12	26	-999	0.348	0.616	0.391	0.752	0.446	0.84	0.497	0.885	0.615	0.921	0.724	0.97	0.817	0.973	0.994	0.982	1.225	0.983	1.6	0.992
Table Mountain	1926	1	2	-999	0.348	0.636	0.391	0.749	0.446	0.833	0.497	0.88	0.615	0.917	0.724	0.975	0.817	0.984	0.994	0.984	1.225	0.977	1.6	0.984
Table Mountain	1926	1	4	-999	0.348	0.637	0.391	0.737	0.446	0.827	0.497	0.868	0.615	0.912	0.724	0.967	0.817	0.971	0.994	0.982	1.225	0.976	1.6	0.985
Table Mountain	1926	1	5	-999	0.348	0.655	0.391	0.746	0.446	0.833	0.497	0.883	0.615	0.928	0.724	0.972	0.817	0.978	0.994	0.986	1.225	0.982	1.6	0.992
Table Mountain	1926	1	7	-999	0.348	0.92	0.391	0.732	0.446	0.826	0.497	0.878	0.615	0.98	0.724	0.966	0.817	0.972	0.994	0.986	1.225	0.984	1.6	0.99
Table Mountain	1926	1	8	-999	0.348	0.649	0.391	0.738	0.446	0.828	0.497	0.885	0.615	0.922	0.724	0.968	0.817	0.979	0.994	0.987	1.225	0.981	1.6	0.991
Table Mountain	1926	1	9	-999	0.348	0.663	0.391	0.747	0.446	0.841	0.497	0.882	0.615	0.929	0.724	0.969	0.817	0.98	0.994	0.987	1.225	0.982	1.6	0.991
Table Mountain	1926	1	11	-999	0.348	0.631	0.391	0.744	0.446	0.822	0.497	0.877	0.615	0.926	0.724	0.962	0.817	0.97	0.994	0.982	1.225	0.982	1.6	0.99
Table Mountain	1926	1	12	-999	0.348	0.656	0.391	0.754	0.446	0.837	0.497	0.888	0.615	0.901	0.724	0.968	0.817	0.979	0.994	0.989	1.225	0.99	1.6	0.987
Table Mountain	1926	1	14	-999	0.348	0.637	0.391	0.73	0.446	0.824	0.497	0.875	0.615	0.909	0.724	0.961	0.817	0.973	0.994	0.983	1.225	0.977	1.6	0.986
Table Mountain	1926	1	18	-999	0.348	0.627	0.391	0.75	0.446	0.828	0.497	0.877	0.615	0.917	0.724	0.968	0.817	0.978	0.994	0.987	1.225	0.987	1.6	0.987
Table Mountain	1926	1	21	-999	0.348	0.642	0.391	0.732	0.446	0.832	0.497	0.873	0.615	0.905	0.724	0.962	0.817	0.972	0.994	0.982	1.225	0.978	1.6	0.982
Table Mountain	1926	1	23	-999	0.348	0.639	0.391	0.741	0.446	0.84	0.497	0.867	0.615	0.91	0.724	0.972	0.817	0.977	0.994	0.986	1.225	0.982	1.6	0.985
Table Mountain	1926	1	25	-999	0.348	0.638	0.391	0.741	0.446	0.833	0.497	0.874	0.615	0.912	0.724	0.965	0.817	0.977	0.994	0.987	1.225	0.982	1.6	0.986
Table Mountain	1926	1	26	-999	0.348	0.636	0.391	0.735	0.446	0.83	0.497	0.875	0.615	0.912	0.724	0.968	0.817	0.97	0.994	0.985	1.225	0.877	1.6	0.988
Table Mountain	1926	1	27	-999	0.348	0.64	0.391	0.748	0.446	0.827	0.497	0.879	0.615	0.915	0.724	0.965	0.817	0.972	0.994	0.987	1.225	0.972	1.6	0.986
Table Mountain	1926	1	28	-999	0.348	0.623	0.391	0.746	0.446	0.836	0.497	0.887	0.615	0.923	0.724	0.968	0.817	0.974	0.994	0.984	1.225	0.977	1.6	0.992
Table Mountain	1926	2	3	-999	0.348	0.653	0.391	0.755	0.446	0.842	0.497	0.883	0.615	0.917	0.724	0.967	0.817	0.977	0.994	0.987	1.225	0.982	1.6	0.994
Table Mountain	1926	2	6	-999	0.348	0.636	0.391	0.747	0.446	0.832	0.497	0.88	0.615	0.917	0.724	0.967	0.817	0.979	0.994	0.987	1.225	0.984	1.6	0.988
Table Mountain	1926	2	9	-999	0.348	0.65	0.391	0.755	0.446	0.83	0.497	0.873	0.615	0.908	0.724	0.96	0.817	0.974	0.994	0.986	1.225	0.976	1.6	0.992
Table Mountain	1926	2	16	-999	0.348	0.642	0.391	0.744	0.446	0.829	0.497	0.873	0.615	0.907	0.724	0.962	0.817	0.969	0.994	0.98	1.225	0.978	1.6	0.992
Table Mountain	1926	2	17	-999	0.348	0.639	0.391	0.734	0.446	0.827	0.497	0.877	0.615	0.914	0.724	0.962	0.817	0.968	0.994	0.98	1.225	0.972	1.6	0.99
Table Mountain	1926	2	21	-999	0.348	0.637	0.391	0.735	0.446	0.824	0.497	0.871	0.615	0.905	0.724	0.957	0.817	0.968	0.994	0.98	1.225	0.976	1.6	0.992
Table Mountain	1926	2	26	-999	0.348	0.638	0.391	0.739	0.446	0.831	0.497	0.873	0.615	0.906	0.724	0.963	0.817	0.973	0.994	0.983	1.225	0.98	1.6	0.992
Table Mountain	1926	2	27	-999	0.348	0.648	0.391	0.746	0.446	0.828	0.497	0.877	0.615	0.913	0.724	0.968	0.817	0.977	0.994	0.986	1.225	0.984	1.6	0.988
Table Mountain	1926	2	28	-999	0.348	0.661	0.391	0.74	0.446	0.825	0.497	0.878	0.615	0.91	0.724	0.962	0.817	0.974	0.994	0.984	1.225	0.984	1.6	0.987
Table Mountain	1926	3	2	-999	0.348	0.641	0.391	0.743	0.446	0.833	0.497	0.877	0.615	0.915	0.724	0.965	0.817	0.977	0.994	0.987	1.225	0.982	1.6	0.99
Table Mountain	1926	3	5	-999	0.348	0.633	0.391	0.744	0.446	0.832	0.497	0.875	0.615	0.912	0.724	0.966	0.817	0.976	0.994	0.98	1.225	0.98	1.6	0.989
Table Mountain	1926	30	11	-999	0.348	0.635	0.391	0.737	0.446	0.828	0.497	0.874	0.615	0.907	0.724	0.96	0.817	0.97	0.994	0.981	1.225	0.982	1.6	0.982
Table Mountain	1926	3	12	-999	0.348	0.642	0.391	0.737	0.446	0.828	0.497	0.872	0.615	0.904	0.724	0.957	0.817	0.968	0.994	0.978	1.225	0.977	1.6	0.984
Table Mountain	1926	3	16	-999	0.348	0.616	0.391	0.708	0.446	0.815	0.497	0.848	0.615	0.882	0.724	0.944	0.817	0.958	0.994	0.975	1.225	0.97	1.6	0.979
Table Mountain	1926	3	23	-999	0.348	0.646	0.391	0.741	0.446	0.822	0.497	0.872	0.615	0.911	0.724	0.962	0.817	0.974	0.994	0.982	1.225	0.982	1.6	0.983
Table Mountain	1926	3	24	-999	0.348	0.642	0.391	0.744	0.446	0.832	0.497	0.881	0.615	0.913	0.724	0.964	0.817	0.977	0.994	0.982	1.225	0.978	1.6	0.989
Table Mountain	1926	3	25	-999	0.348	0.625	0.391	0.719	0.446	0.803	0.497	0.855	0.615	0.883	0.724	0.954	0.817	0.968	0.994	0.978	1.225	0.979	1.6	0.987
