variable,month,values
alpha_350,1918-01-01,0.0762066773445478
alpha_350,1919-01-01,0.0796213131082782
alpha_350,1920-01-01,0.08015969298374008
alpha_400,1918-01-01,0.04798984592043778
alpha_400,1919-01-01,0.050248444105524925
alpha_400,1920-01-01,0.05042014664938505
alpha_450,1918-01-01,0.028514194978423058
alpha_450,1919-01-01,0.029016950565668664
alpha_450,1920-01-01,0.029605699811377423
alpha_500,1918-01-01,0.01920609053343789
alpha_500,1919-01-01,0.01965753290560544
alpha_500,1920-01-01,0.020001708485480846
alpha_600,1918-01-01,0.011357979545808078
alpha_600,1919-01-01,0.011284376200732525
alpha_600,1920-01-01,0.011179677212313522
alpha_700,1918-01-01,0.005518949988546367
alpha_700,1919-01-01,0.007634958452910396
alpha_700,1920-01-01,0.006221136978538905
alpha_800,1918-01-01,0.0015821071645037038
alpha_800,1919-01-01,0.0031891338081881985
alpha_800,1920-01-01,0.001835013693045622
alpha_900,1918-01-01,NA
alpha_900,1919-01-01,NA
alpha_900,1920-01-01,NA
alpha_1200,1918-01-01,-2.7370879759746534e-4
alpha_1200,1919-01-01,1.4447776948972571e-4
alpha_1200,1920-01-01,3.352263804199004e-5
alpha_1600,1918-01-01,-7.878322584870421e-4
alpha_1600,1919-01-01,-5.871025898962386e-4
alpha_1600,1920-01-01,-7.68013008234484e-4
