variable,month,values
alpha_350,1920-01-01,0.07221150515460642
alpha_350,1921-01-01,0.07320326134012638
alpha_350,1922-01-01,0.07209350620615465
alpha_350,1923-01-01,0.07012078034275109
alpha_350,1924-01-01,0.0687926968104545
alpha_350,1925-01-01,0.06939267920822564
alpha_350,NA,0.07193797476238992
alpha_400,1920-01-01,0.049127536138989576
alpha_400,1921-01-01,0.04865634796658949
alpha_400,1922-01-01,0.05027041293200029
alpha_400,1923-01-01,0.05001821584424773
alpha_400,1924-01-01,0.049103760377664604
alpha_400,1925-01-01,0.050992577528095995
alpha_400,NA,0.04579813770210481
alpha_450,1920-01-01,0.027365648434300595
alpha_450,1921-01-01,0.029140897768473548
alpha_450,1922-01-01,0.029612478852573714
alpha_450,1923-01-01,0.02899112317122215
alpha_450,1924-01-01,0.02857372992494816
alpha_450,1925-01-01,0.029821403145371767
alpha_450,NA,0.02560395954158515
alpha_500,1920-01-01,0.018608643111909125
alpha_500,1921-01-01,0.019781652410311976
alpha_500,1922-01-01,0.02106163496690248
alpha_500,1923-01-01,0.020233620911347474
alpha_500,1924-01-01,0.020054836493206198
alpha_500,1925-01-01,0.020909985171871755
alpha_500,NA,0.019145685158139778
alpha_600,1920-01-01,0.009739833246486043
alpha_600,1921-01-01,0.010363975306296501
alpha_600,1922-01-01,0.011539561379369607
alpha_600,1923-01-01,0.011310110299294927
alpha_600,1924-01-01,0.012952412181113527
alpha_600,1925-01-01,0.011737410943685354
alpha_600,NA,0.01065767545389392
alpha_700,1920-01-01,0.0032596478071123835
alpha_700,1921-01-01,0.0034778252512428593
alpha_700,1922-01-01,0.0039435369855270325
alpha_700,1923-01-01,0.003840438286923786
alpha_700,1924-01-01,0.004000136400122213
alpha_700,1925-01-01,0.004219800765027404
alpha_700,NA,0.00249989347773521
alpha_800,1920-01-01,0.0015342692223900662
alpha_800,1921-01-01,0.0014515347945025462
alpha_800,1922-01-01,0.001993830780068448
alpha_800,1923-01-01,0.0017233953218635664
alpha_800,1924-01-01,0.0017836099711052344
alpha_800,1925-01-01,0.007509515033891778
alpha_800,NA,6.099322068585783e-4
alpha_900,1920-01-01,NA
alpha_900,1921-01-01,NA
alpha_900,1922-01-01,NA
alpha_900,1923-01-01,NA
alpha_900,1924-01-01,NA
alpha_900,1925-01-01,NA
alpha_900,NA,NA
alpha_1600,1920-01-01,-7.984546650148885e-4
alpha_1600,1921-01-01,-8.39998396252529e-4
alpha_1600,1922-01-01,-2.7174480146011104e-4
alpha_1600,1923-01-01,-7.158437352857742e-4
alpha_1600,1924-01-01,-4.2330028051671065e-4
alpha_1600,1925-01-01,-5.584713511905697e-4
alpha_1600,NA,-4.142922695861215e-4
NA,1920-01-01,5.551607435965593e-4
NA,1921-01-01,4.8566004689704073e-4
NA,1922-01-01,8.041248369346224e-4
NA,1923-01-01,3.457203723049611e-4
NA,1924-01-01,2.2823725122377925e-4
NA,1925-01-01,2.997535062354829e-4
NA,NA,5.751877426329585e-4
