variable,month,values
alpha_350,1920-01-01,0.07029173144127128
alpha_350,1921-01-01,0.07322607388250855
alpha_350,1922-01-01,0.07383147204028487
alpha_350,1923-01-01,0.07282763614015313
alpha_350,1924-01-01,0.07426807761161029
alpha_350,1925-01-01,0.07467841104651338
alpha_350,1926-01-01,0.07905004160020733
alpha_350,1927-01-01,0.07922079247050166
alpha_350,1928-01-01,0.0807391150007136
alpha_350,1929-01-01,0.07666991004154972
alpha_350,1930-01-01,0.07416171215590872
alpha_400,1920-01-01,0.04446910787057455
alpha_400,1921-01-01,0.04560439696269937
alpha_400,1922-01-01,0.04777893079785776
alpha_400,1923-01-01,0.045926040363966115
alpha_400,1924-01-01,0.04562199411594478
alpha_400,1925-01-01,0.04159442286829462
alpha_400,1926-01-01,0.04590355424862207
alpha_400,1927-01-01,0.04470434141484669
alpha_400,1928-01-01,0.04474851219283405
alpha_400,1929-01-01,0.04766023758888678
alpha_400,1930-01-01,0.046803270080372085
alpha_450,1920-01-01,0.024336095331342702
alpha_450,1921-01-01,0.025517144467190965
alpha_450,1922-01-01,0.027471366205303244
alpha_450,1923-01-01,0.026948788092294496
alpha_450,1924-01-01,0.02548973942009288
alpha_450,1925-01-01,0.02222633368398135
alpha_450,1926-01-01,0.027275984537132474
alpha_450,1927-01-01,0.025810695918178767
alpha_450,1928-01-01,0.024785271013227913
alpha_450,1929-01-01,0.02776114444713228
alpha_450,1930-01-01,0.026545145099874365
alpha_500,1920-01-01,0.018088042478369405
alpha_500,1921-01-01,0.018746198604981917
alpha_500,1922-01-01,0.019275458907103922
alpha_500,1923-01-01,0.019661318231399532
alpha_500,1924-01-01,0.01898914607014524
alpha_500,1925-01-01,0.013977820775505523
alpha_500,1926-01-01,0.01863391044661808
alpha_500,1927-01-01,0.01748520241660521
alpha_500,1928-01-01,0.017848753159479463
alpha_500,1929-01-01,0.01794791643284115
alpha_500,1930-01-01,0.017310482795405452
alpha_600,1920-01-01,0.009996062784234655
alpha_600,1921-01-01,0.010797220979559846
alpha_600,1922-01-01,0.010864449949459013
alpha_600,1923-01-01,0.010734682061342565
alpha_600,1924-01-01,0.010681613864138226
alpha_600,1925-01-01,0.006331383280955663
alpha_600,1926-01-01,0.01036502943717981
alpha_600,1927-01-01,0.010000189503281354
alpha_600,1928-01-01,0.009624909443256325
alpha_600,1929-01-01,0.0110332251321255
alpha_600,1930-01-01,0.010482806459751932
alpha_700,1920-01-01,0.005732956428220592
alpha_700,1921-01-01,0.004984299468042728
alpha_700,1922-01-01,0.004658310447450169
alpha_700,1923-01-01,0.003476949505847732
alpha_700,1924-01-01,0.0034843399765710145
alpha_700,1925-01-01,-4.0629174489082787e-4
alpha_700,1926-01-01,0.0034383762998457055
alpha_700,1927-01-01,0.0033232284470325725
alpha_700,1928-01-01,0.0040357061966984605
alpha_700,1929-01-01,0.003762317297134854
alpha_700,1930-01-01,0.003196611195249045
alpha_800,1920-01-01,0.0012679586004800364
alpha_800,1921-01-01,0.001265116971237685
alpha_800,1922-01-01,0.0016363413628566737
alpha_800,1923-01-01,0.0013025238729906486
alpha_800,1924-01-01,0.0010595744320593785
alpha_800,1925-01-01,-0.0025726587329930545
alpha_800,1926-01-01,0.0014288384890328283
alpha_800,1927-01-01,0.0013412289755137916
alpha_800,1928-01-01,6.075720319347423e-4
alpha_800,1929-01-01,0.0024571337874444822
alpha_800,1930-01-01,0.0012287862893434996
alpha_900,1920-01-01,NA
alpha_900,1921-01-01,NA
alpha_900,1922-01-01,NA
alpha_900,1923-01-01,NA
alpha_900,1924-01-01,NA
alpha_900,1925-01-01,NA
alpha_900,1926-01-01,NA
alpha_900,1927-01-01,NA
alpha_900,1928-01-01,NA
alpha_900,1929-01-01,NA
alpha_900,1930-01-01,NA
alpha_1200,1920-01-01,0.0023495472952843495
alpha_1200,1921-01-01,-2.20360242645135e-4
alpha_1200,1922-01-01,0.00015993687428221591
alpha_1200,1923-01-01,-5.054899725129582e-4
alpha_1200,1924-01-01,-9.439390548665715e-4
alpha_1200,1925-01-01,-7.732657421463938e-4
alpha_1200,1926-01-01,-2.0027178786078282e-4
alpha_1200,1927-01-01,3.569696202235144e-4
alpha_1200,1928-01-01,-8.091306989276275e-4
alpha_1200,1929-01-01,9.084123339338815e-5
alpha_1200,1930-01-01,-5.152669730158659e-4
alpha_1600,1920-01-01,-5.333190681689231e-4
alpha_1600,1921-01-01,-3.129235503060721e-4
alpha_1600,1922-01-01,-1.6795917497073156e-4
alpha_1600,1923-01-01,4.979276171813726e-4
alpha_1600,1924-01-01,0.010824760611568096
alpha_1600,1925-01-01,-0.003835700886378856
alpha_1600,1926-01-01,-2.22836974225083e-4
alpha_1600,1927-01-01,-2.2181277953262413e-4
alpha_1600,1928-01-01,0.012299466909174765
alpha_1600,1929-01-01,-3.114253281309002e-4
alpha_1600,1930-01-01,-0.001120160972267251
