variable,month,values
alpha_350,1926-01-01,0.08469164485185904
alpha_350,1927-01-01,0.09251298495435023
alpha_350,1928-01-01,0.08757354990897952
alpha_350,1929-01-01,0.09118442594365925
alpha_350,1930-01-01,0.08725102406820927
alpha_400,1926-01-01,0.05038417192765964
alpha_400,1927-01-01,0.05693506304912989
alpha_400,1928-01-01,0.056590881105971255
alpha_400,1929-01-01,0.055635004650068695
alpha_400,1930-01-01,0.05595826121141456
alpha_450,1926-01-01,0.03004201817526333
alpha_450,1927-01-01,0.035951505398347766
alpha_450,1928-01-01,0.03559387240395584
alpha_450,1929-01-01,0.03469614824429415
alpha_450,1930-01-01,0.03455670330416355
alpha_500,1926-01-01,0.01904789698112866
alpha_500,1927-01-01,0.02565615075357076
alpha_500,1928-01-01,0.0223631113670331
alpha_500,1929-01-01,0.022297158907736786
alpha_500,1930-01-01,0.021736579383667763
alpha_600,1926-01-01,0.011730441900527473
alpha_600,1927-01-01,0.013427081057513572
alpha_600,1928-01-01,0.013098067612834947
alpha_600,1929-01-01,0.013048122377116339
alpha_600,1930-01-01,0.01323370542256414
alpha_700,1926-01-01,0.004328178584701314
alpha_700,1927-01-01,0.0050756062004076435
alpha_700,1928-01-01,0.004865283484700628
alpha_700,1929-01-01,0.0045660255845448305
alpha_700,1930-01-01,0.003966426491281458
alpha_800,1926-01-01,0.0014787816314540212
alpha_800,1927-01-01,0.0020745207633905945
alpha_800,1928-01-01,0.0019622159659733567
alpha_800,1929-01-01,0.0018967010452432093
alpha_800,1930-01-01,0.00162138458002838
alpha_900,1926-01-01,NA
alpha_900,1927-01-01,NA
alpha_900,1928-01-01,NA
alpha_900,1929-01-01,NA
alpha_900,1930-01-01,NA
alpha_1200,1926-01-01,-7.247135558055032e-5
alpha_1200,1927-01-01,-3.258090274386828e-4
alpha_1200,1928-01-01,-3.0679865226284893e-4
alpha_1200,1929-01-01,-3.4360808553256375e-4
alpha_1200,1930-01-01,0.007426492257141679
alpha_1600,1926-01-01,-5.665590885890431e-4
alpha_1600,1927-01-01,1.1430453133205751e-5
alpha_1600,1928-01-01,0.007161926322649358
alpha_1600,1929-01-01,-8.672939279346528e-4
alpha_1600,1930-01-01,-4.0099603748515873e-4
