"","variable","month","values"
"1","alpha_350",1905-01-01,NA
"2","alpha_350",1906-01-01,NA
"3","alpha_350",1908-01-01,NA
"4","alpha_350",1909-01-01,0.0721768202876998
"5","alpha_350",1910-01-01,0.0754101807512658
"6","alpha_350",1911-01-01,0.0754049656475357
"7","alpha_350",1912-01-01,0.0938424459595329
"8","alpha_350",1913-01-01,0.0907614132624109
"9","alpha_350",1914-01-01,0.0883801587166128
"10","alpha_350",1915-01-01,0.0880230290266557
"11","alpha_350",1916-01-01,0.0859936620899543
"12","alpha_350",1917-01-01,0.0876554677728765
"13","alpha_350",1918-01-01,0.0890209830859807
"14","alpha_350",1919-01-01,0.0745333084782557
"15","alpha_350",1920-01-01,0.0782908276427328
"16","alpha_400",1905-01-01,0.0476503603391272
"17","alpha_400",1906-01-01,0.0436711302227367
"18","alpha_400",1908-01-01,0.0503282229368536
"19","alpha_400",1909-01-01,0.046179254904349
"20","alpha_400",1910-01-01,0.0479724594993704
"21","alpha_400",1911-01-01,0.0474567825137638
"22","alpha_400",1912-01-01,0.0573240420893444
"23","alpha_400",1913-01-01,0.0534460193825164
"24","alpha_400",1914-01-01,0.0491958299212835
"25","alpha_400",1915-01-01,0.0496261058259061
"26","alpha_400",1916-01-01,0.050703256561042
"27","alpha_400",1917-01-01,0.0520198979190614
"28","alpha_400",1918-01-01,0.0521324835983565
"29","alpha_400",1919-01-01,0.0479545417831434
"30","alpha_400",1920-01-01,0.0516213391377883
"31","alpha_450",1905-01-01,0.030687617652166
"32","alpha_450",1906-01-01,0.0285528920602156
"33","alpha_450",1908-01-01,0.0310320034381985
"34","alpha_450",1909-01-01,0.0288836865603058
"35","alpha_450",1910-01-01,0.0294514738734776
"36","alpha_450",1911-01-01,0.0296828284774532
"37","alpha_450",1912-01-01,0.0380568526699457
"38","alpha_450",1913-01-01,0.0340455496163597
"39","alpha_450",1914-01-01,0.0301229352024751
"40","alpha_450",1915-01-01,0.0305796278693981
"41","alpha_450",1916-01-01,0.032591922451353
"42","alpha_450",1917-01-01,0.0330419972953337
"43","alpha_450",1918-01-01,0.0330937686815069
"44","alpha_450",1919-01-01,0.032767197333727
"45","alpha_450",1920-01-01,0.0335599081587621
"46","alpha_500",1905-01-01,0.0214122114106628
"47","alpha_500",1906-01-01,0.0201566541858379
"48","alpha_500",1908-01-01,0.0210863739385489
"49","alpha_500",1909-01-01,0.0190228486541373
"50","alpha_500",1910-01-01,0.018679002408577
"51","alpha_500",1911-01-01,0.0186536326769852
"52","alpha_500",1912-01-01,0.0268369243226909
"53","alpha_500",1913-01-01,0.0241380167188382
"54","alpha_500",1914-01-01,0.0206426098670814
"55","alpha_500",1915-01-01,0.0203763536446815
"56","alpha_500",1916-01-01,0.021940881566539
"57","alpha_500",1917-01-01,0.0227688517401829
"58","alpha_500",1918-01-01,0.0222635603865969
"59","alpha_500",1919-01-01,0.0230105615047855
"60","alpha_500",1920-01-01,0.0224969015262991
"61","alpha_600",1905-01-01,0.011724072838242
"62","alpha_600",1906-01-01,0.0106763493477766
"63","alpha_600",1908-01-01,0.0142622269028037
"64","alpha_600",1909-01-01,0.0129233846203139
"65","alpha_600",1910-01-01,0.0127047220339743
"66","alpha_600",1911-01-01,0.0130655444296321
"67","alpha_600",1912-01-01,0.0186409529895373
"68","alpha_600",1913-01-01,0.0168969347413708
"69","alpha_600",1914-01-01,0.014338839729135
"70","alpha_600",1915-01-01,0.0139913831201426
"71","alpha_600",1916-01-01,0.0151862069847399
"72","alpha_600",1917-01-01,0.01563759769881
"73","alpha_600",1918-01-01,0.0155714262012376
"74","alpha_600",1919-01-01,0.0154555292070488
"75","alpha_600",1920-01-01,0.0161327676863154
"76","alpha_700",1905-01-01,0.0054976565992645
"77","alpha_700",1906-01-01,0.00504275070992514
"78","alpha_700",1908-01-01,0.00534022613263917
"79","alpha_700",1909-01-01,0.00448113098900452
"80","alpha_700",1910-01-01,0.00473151366716434
"81","alpha_700",1911-01-01,0.00451581614218868
"82","alpha_700",1912-01-01,0.00876551834970227
"83","alpha_700",1913-01-01,0.00709922610966504
"84","alpha_700",1914-01-01,0.00571953421641441
"85","alpha_700",1915-01-01,0.00486929456890306
"86","alpha_700",1916-01-01,0.00609996264012824
"87","alpha_700",1917-01-01,0.00620216864037907
"88","alpha_700",1918-01-01,0.00571209459621676
"89","alpha_700",1919-01-01,0.00686630920487049
"90","alpha_700",1920-01-01,0.00651007271960723
"91","alpha_800",1905-01-01,0.00230379920026706
"92","alpha_800",1906-01-01,0.00229371387763069
"93","alpha_800",1908-01-01,0.0018201771299812
