variable,month,values
alpha_350,1925-01-01,0.11481532938263302
alpha_350,1926-01-01,0.0741600919908089
alpha_350,1927-01-01,0.06875806438936712
alpha_350,1928-01-01,0.07155315611977571
alpha_350,1929-01-01,0.07031345602624246
alpha_350,1930-01-01,0.07329279659251438
alpha_350,NA,0.07432201161457984
alpha_400,1925-01-01,0.04622887666305509
alpha_400,1926-01-01,0.05189314633109367
alpha_400,1927-01-01,0.04911398239507688
alpha_400,1928-01-01,0.0504730515619767
alpha_400,1929-01-01,0.04874977443029604
alpha_400,1930-01-01,0.05116705452150144
alpha_400,NA,0.047913985482097854
alpha_450,1925-01-01,0.028449664973251958
alpha_450,1926-01-01,0.030954123557542252
alpha_450,1927-01-01,0.0289644031491726
alpha_450,1928-01-01,0.029345530008190606
alpha_450,1929-01-01,0.027570644094363758
alpha_450,1930-01-01,0.029928164946404153
alpha_450,NA,0.027795154075338214
alpha_500,1925-01-01,0.017433417797030237
alpha_500,1926-01-01,0.020822915908305033
alpha_500,1927-01-01,0.01919949143644159
alpha_500,1928-01-01,0.01926596632706644
alpha_500,1929-01-01,0.016921864416084207
alpha_500,1930-01-01,0.019941805556195114
alpha_500,NA,0.018601982644107368
alpha_600,1925-01-01,0.010211284237439703
alpha_600,1926-01-01,0.014146570521046157
alpha_600,1927-01-01,0.011658246344905964
alpha_600,1928-01-01,0.011641715855873213
alpha_600,1929-01-01,0.009446478477779267
alpha_600,1930-01-01,0.012257390483320493
alpha_600,NA,0.012213426168558552
alpha_700,1925-01-01,0.0023639376255217555
alpha_700,1926-01-01,0.003906698269541486
alpha_700,1927-01-01,0.0037200233927765333
alpha_700,1928-01-01,0.0031754718708292364
alpha_700,1929-01-01,6.436279827361773e-4
alpha_700,1930-01-01,0.003556444873879302
alpha_700,NA,0.0032862354802163526
alpha_800,1925-01-01,0.0010967537178867431
alpha_800,1926-01-01,0.0016272593000563054
alpha_800,1927-01-01,0.0013733995126725025
alpha_800,1928-01-01,0.002105368246071152
alpha_800,1929-01-01,0.0017151113909015644
alpha_800,1930-01-01,0.0015833333196587389
alpha_800,NA,0.0016816276433037007
alpha_900,1925-01-01,NA
alpha_900,1926-01-01,NA
alpha_900,1927-01-01,NA
alpha_900,1928-01-01,NA
alpha_900,1929-01-01,NA
alpha_900,1930-01-01,NA
alpha_900,NA,NA
alpha_1600,1925-01-01,-7.925759758370824e-4
alpha_1600,1926-01-01,-0.0015583965686935802
alpha_1600,1927-01-01,-5.978848281172326e-4
alpha_1600,1928-01-01,-5.97891310283447e-4
alpha_1600,1929-01-01,-0.0036259017974349874
alpha_1600,1930-01-01,-5.148487209471291e-4
alpha_1600,NA,-1.3809732762703312e-4
NA,1925-01-01,4.447099504999051e-4
NA,1926-01-01,3.51471778226765e-4
NA,1927-01-01,5.576289341623974e-4
NA,1928-01-01,0.005460751062992826
NA,1929-01-01,-0.003134679341300693
NA,1930-01-01,-9.492474530081232e-5
NA,NA,-1.4328397269154972e-4
