variable,month,values
alpha_350,1902-01-01,NA
alpha_350,1903-01-01,NA
alpha_350,1904-01-01,NA
alpha_350,1905-01-01,NA
alpha_350,1906-01-01,NA
alpha_350,1907-01-01,NA
alpha_400,1902-01-01,NA
alpha_400,1903-01-01,0.08624875517263154
alpha_400,1904-01-01,0.10628790290245052
alpha_400,1905-01-01,0.08279348722200537
alpha_400,1906-01-01,0.09484032662905008
alpha_400,1907-01-01,0.08146040271125082
alpha_450,1902-01-01,NA
alpha_450,1903-01-01,0.06079255591590681
alpha_450,1904-01-01,0.0646778982739822
alpha_450,1905-01-01,0.05001696728714464
alpha_450,1906-01-01,0.05601932108456607
alpha_450,1907-01-01,0.06288438826212442
alpha_500,1902-01-01,0.03133436937744443
alpha_500,1903-01-01,0.044803610687989805
alpha_500,1904-01-01,0.04539990039854954
alpha_500,1905-01-01,0.03779608677552383
alpha_500,1906-01-01,0.039017115896115916
alpha_500,1907-01-01,0.04206281105368305
alpha_600,1902-01-01,0.022606004331048295
alpha_600,1903-01-01,0.030533986235760313
alpha_600,1904-01-01,0.029376443019498495
alpha_600,1905-01-01,0.025953006762074224
alpha_600,1906-01-01,0.022628239670308435
alpha_600,1907-01-01,0.030523631236785122
alpha_700,1902-01-01,0.009742059820673466
alpha_700,1903-01-01,0.014034325025292059
alpha_700,1904-01-01,0.016432719237897273
alpha_700,1905-01-01,0.011979592643045218
alpha_700,1906-01-01,0.009772628116826217
alpha_700,1907-01-01,0.015245223874950434
alpha_800,1902-01-01,0.004416111103206959
alpha_800,1903-01-01,0.006623052871189908
alpha_800,1904-01-01,0.007436930469678337
alpha_800,1905-01-01,0.0055711222944496205
alpha_800,1906-01-01,0.004277871764825216
alpha_800,1907-01-01,0.009020010622265236
alpha_900,1902-01-01,0.0016130802482943482
alpha_900,1903-01-01,0.0033085771306415033
alpha_900,1904-01-01,0.00199682318626496
alpha_900,1905-01-01,0.0018028629630836976
alpha_900,1906-01-01,0.0016161056736869925
alpha_900,1907-01-01,0.0037780858490592296
alpha_1200,1902-01-01,-0.001541582862098921
alpha_1200,1903-01-01,-0.0029736154425465218
alpha_1200,1904-01-01,-0.002020654832940472
alpha_1200,1905-01-01,-0.002287533030303321
alpha_1200,1906-01-01,-0.0013042222285771783
alpha_1200,1907-01-01,-0.002096678772572031
alpha_1600,1902-01-01,-0.0043762438932728135
alpha_1600,1903-01-01,-0.007740436896584912
alpha_1600,1904-01-01,-0.004432456233050983
alpha_1600,1905-01-01,-9.940348937524848e-4
alpha_1600,1906-01-01,-9.642694015316346e-4
alpha_1600,1907-01-01,-0.003392910933568311
