variable,month,values
trans_350,1920-01-01,0.44042867549074716
trans_350,1921-01-01,0.4569591326246476
trans_350,1922-01-01,0.44956874510226796
trans_350,1923-01-01,0.4374257789981377
trans_350,1924-01-01,0.4263140593408292
trans_350,1925-01-01,0.4319957423856575
trans_350,NA,0.44161055474451766
trans_398,1920-01-01,0.3115181425443629
trans_398,1921-01-01,0.3194182128584111
trans_398,1922-01-01,0.3281912191775255
trans_398,1923-01-01,0.3260945835516308
trans_398,1924-01-01,0.31728834468841605
trans_398,1925-01-01,0.3307626841710499
trans_398,NA,0.29437106060257756
trans_452,1920-01-01,0.1847233824827624
trans_452,1921-01-01,0.20629750839543365
trans_452,1922-01-01,0.20829108913591435
trans_452,1923-01-01,0.20390544811530628
trans_452,1924-01-01,0.19802174336203382
trans_452,1925-01-01,0.20781664716080975
trans_452,NA,0.17673717850005405
trans_502,1920-01-01,0.1331382155934438
trans_502,1921-01-01,0.1511535070504703
trans_502,1922-01-01,0.15822369060035887
trans_502,1923-01-01,0.1524877324311866
trans_502,1924-01-01,0.14804404852558942
trans_502,1925-01-01,0.1555289024659115
trans_502,NA,0.13926206733350766
trans_626,1920-01-01,0.08013670414063802
trans_626,1921-01-01,0.09487658923867669
trans_626,1922-01-01,0.10155708372485164
trans_626,1923-01-01,0.09949269796303198
trans_626,1924-01-01,0.10673616009363411
trans_626,1925-01-01,0.10107936768933216
trans_626,NA,0.0888312137066157
trans_724,1920-01-01,0.03888260613290763
trans_724,1921-01-01,0.05104007478260974
trans_724,1922-01-01,0.05321717327212872
trans_724,1923-01-01,0.05195141998480843
trans_724,1924-01-01,0.04967110364443283
trans_724,1925-01-01,0.05328457392849264
trans_724,NA,0.03666398437159147
trans_817,1920-01-01,0.02770676099012432
trans_817,1921-01-01,0.03787278946956992
trans_817,1922-01-01,0.04061971450163781
trans_817,1923-01-01,0.03821940205627131
trans_817,1924-01-01,0.03529128466076468
trans_817,1925-01-01,0.07585416376806117
trans_817,NA,0.024292692569044587
trans_994,1920-01-01,0.017418505310425034
trans_994,1921-01-01,0.028139321004004066
trans_994,1922-01-01,0.027249804874275606
trans_994,1923-01-01,0.02666293501008414
trans_994,1924-01-01,0.023331039908539294
trans_994,1925-01-01,0.025498066173357523
trans_994,NA,0.020202707317519466
trans_1225,1920-01-01,0.021366084657547132
trans_1225,1921-01-01,0.031592702016560566
trans_1225,1922-01-01,0.032967692234657606
trans_1225,1923-01-01,0.029121247521067824
trans_1225,1924-01-01,0.024953965645935567
trans_1225,1925-01-01,0.027629522267995484
trans_1225,NA,0.024292692569044587
trans_1600,1920-01-01,0.011527699292795339
trans_1600,1921-01-01,0.021942015353154844
trans_1600,1922-01-01,0.02524493724453866
trans_1600,1923-01-01,0.021381612515180403
trans_1600,1924-01-01,0.020208032493101775
trans_1600,1925-01-01,0.02137779918712124
trans_1600,NA,0.017146158834970514
