variable,month,values
trans_400,1917-01-01,0.5847069903917136
trans_400,1918-01-01,0.5563203980947448
trans_450,1917-01-01,0.39569406924136563
trans_450,1918-01-01,0.37518069957176703
trans_500,1917-01-01,0.2618834552439623
trans_500,1918-01-01,0.23462854522280466
trans_600,1917-01-01,0.1960007425006435
trans_600,1918-01-01,0.1655810696850071
trans_700,1917-01-01,0.1342674508443892
trans_700,1918-01-01,0.12082096272943642
trans_800,1917-01-01,0.09133327325530155
trans_800,1918-01-01,0.08305262231305124
trans_900,1917-01-01,0.05493462981923398
trans_900,1918-01-01,0.047846939709018946
trans_1000,1917-01-01,0.03970134138549469
trans_1000,1918-01-01,0.03512385731138787
trans_1200,1917-01-01,0.038955447022307375
trans_1200,1918-01-01,0.038160099737531754
trans_1600,1917-01-01,0.024538657371830606
trans_1600,1918-01-01,0.02934544429309074
