variable,month,values
trans_349,1920-01-01,0.43178448172965345
trans_349,1921-01-01,0.44635922405618644
trans_349,1922-01-01,0.4614045655361781
trans_349,1923-01-01,0.4483621147592955
trans_349,1924-01-01,0.4605700543447044
trans_349,1925-01-01,0.488193956284703
trans_349,1926-01-01,0.48452929297788744
trans_349,1927-01-01,0.4824296648834546
trans_349,1928-01-01,0.49847491253545567
trans_349,1929-01-01,0.46735452508715786
trans_349,1930-01-01,0.4576301139626477
trans_395,1920-01-01,0.2860970546301031
trans_395,1921-01-01,0.29027877471077335
trans_395,1922-01-01,0.3147807558277402
trans_395,1923-01-01,0.29653761620510155
trans_395,1924-01-01,0.2984938095912392
trans_395,1925-01-01,0.29963479135809534
trans_395,1926-01-01,0.29596163884463716
trans_395,1927-01-01,0.2858683777493015
trans_395,1928-01-01,0.2932878298215445
trans_395,1929-01-01,0.30340180359709473
trans_395,1930-01-01,0.3031494641398628
trans_450,1920-01-01,0.16889657018180104
trans_450,1921-01-01,0.17350584804882566
trans_450,1922-01-01,0.19694536420321612
trans_450,1923-01-01,0.18658788574598945
trans_450,1924-01-01,0.1814482473425102
trans_450,1925-01-01,0.18673266390414822
trans_450,1926-01-01,0.18814527439017906
trans_450,1927-01-01,0.17627015888239464
trans_450,1928-01-01,0.17716094429702703
trans_450,1929-01-01,0.18804639213350946
trans_450,1930-01-01,0.18548892244104037
trans_499,1920-01-01,0.13259522156620265
trans_499,1921-01-01,0.13407804261906942
trans_499,1922-01-01,0.14886682012291433
trans_499,1923-01-01,0.1440990927296134
trans_499,1924-01-01,0.14369720303351452
trans_499,1925-01-01,0.1377851831267988
trans_499,1926-01-01,0.1372746774175317
trans_499,1927-01-01,0.12721490235364563
trans_499,1928-01-01,0.136628859951451
trans_499,1929-01-01,0.12995002256180194
trans_499,1930-01-01,0.13086126984064125
trans_621,1920-01-01,0.08450932788607932
trans_621,1921-01-01,0.08705579777793762
trans_621,1922-01-01,0.09898886126629898
trans_621,1923-01-01,0.09098936163049638
trans_621,1924-01-01,0.09442211365465797
trans_621,1925-01-01,0.09179949471243486
trans_621,1926-01-01,0.08817046777367427
trans_621,1927-01-01,0.0829007568124732
trans_621,1928-01-01,0.08764256653451419
trans_621,1929-01-01,0.08940501125130253
trans_621,1930-01-01,0.0907364579159992
trans_714,1920-01-01,0.05789192432290235
trans_714,1921-01-01,0.050366543347350363
trans_714,1922-01-01,0.05972519937067141
trans_714,1923-01-01,0.04479769550360009
trans_714,1924-01-01,0.048620308592063406
trans_714,1925-01-01,0.04827679306732859
trans_714,1926-01-01,0.04410270003595265
trans_714,1927-01-01,0.04042277241736349
trans_714,1928-01-01,0.05225974036019892
trans_714,1929-01-01,0.0431684341517531
trans_714,1930-01-01,0.04432261694558948
trans_803,1920-01-01,0.02870189548748246
trans_803,1921-01-01,0.026076845951861764
trans_803,1922-01-01,0.04006041808612111
trans_803,1923-01-01,0.030662808920655395
trans_803,1924-01-01,0.03281192805245603
trans_803,1925-01-01,0.03373963440738056
trans_803,1926-01-01,0.03106611043277557
trans_803,1927-01-01,0.027556842375654575
trans_803,1928-01-01,0.02980524453515767
trans_803,1929-01-01,0.03488086987514633
trans_803,1930-01-01,0.03153661747626729
trans_977,1920-01-01,0.020221338604872467
trans_977,1921-01-01,0.017615294893590146
trans_977,1922-01-01,0.029115986618232607
trans_977,1923-01-01,0.021951067234710197
trans_977,1924-01-01,0.025725118405014222
trans_977,1925-01-01,0.02767391195748324
trans_977,1926-01-01,0.021509531789184286
trans_977,1927-01-01,0.01858622723479492
trans_977,1928-01-01,0.02574158727130472
trans_977,1929-01-01,0.018446687525094173
trans_977,1930-01-01,0.02331805890550355
trans_1214,1920-01-01,0.036907062175976786
trans_1214,1921-01-01,0.01605036785329696
trans_1214,1922-01-01,0.03025180647529854
trans_1214,1923-01-01,0.018361241243020347
trans_1214,1924-01-01,0.01902156910039512
trans_1214,1925-01-01,0.02231675461178237
trans_1214,1926-01-01,0.020087266445540097
trans_1214,1927-01-01,0.02112130980933437
trans_1214,1928-01-01,0.01999540322883074
trans_1214,1929-01-01,0.01909181252951627
trans_1214,1930-01-01,0.01965879982426769
trans_1593,1920-01-01,0.016288977488650564
trans_1593,1921-01-01,0.015307992426797508
trans_1593,1922-01-01,0.02787756075238973
trans_1593,1923-01-01,0.025622473935430056
trans_1593,1924-01-01,0.027615393812946927
trans_1593,1925-01-01,0.022664430195445895
trans_1593,1926-01-01,0.01986647136813497
trans_1593,1927-01-01,0.016950718584579326
trans_1593,1928-01-01,0.02072283146591178
trans_1593,1929-01-01,0.016150432011198486
trans_1593,1930-01-01,0.01505869276962434
