variable,month,values
trans_349,1926-01-01,0.5336120464133691
trans_349,1927-01-01,0.5679569026910749
trans_349,1928-01-01,0.5374250879582924
trans_349,1929-01-01,0.5611275459816579
trans_349,1930-01-01,0.5335086811069419
trans_395,1926-01-01,0.33897758291072444
trans_395,1927-01-01,0.3666949600339139
trans_395,1928-01-01,0.3630260682263369
trans_395,1929-01-01,0.35987151122929556
trans_395,1930-01-01,0.35721571128730684
trans_450,1926-01-01,0.22127050151470012
trans_450,1927-01-01,0.24592336949731947
trans_450,1928-01-01,0.2421274337037239
trans_450,1929-01-01,0.23920353368948022
trans_450,1930-01-01,0.23376311603102823
trans_499,1926-01-01,0.15607345549231638
trans_499,1927-01-01,0.18567828061087693
trans_499,1928-01-01,0.16360885675743336
trans_499,1929-01-01,0.16575963924493795
trans_499,1930-01-01,0.15768846548152282
trans_621,1926-01-01,0.11317873019578668
trans_621,1927-01-01,0.11264072579055061
trans_621,1928-01-01,0.10891366411032508
trans_621,1929-01-01,0.11115296890161216
trans_621,1930-01-01,0.10775800091505006
trans_714,1926-01-01,0.06617632951628642
trans_714,1927-01-01,0.05963793635152706
trans_714,1928-01-01,0.05664486311520496
trans_714,1929-01-01,0.05723899361588438
trans_714,1930-01-01,0.04871058415469539
trans_803,1926-01-01,0.04762699069174289
trans_803,1927-01-01,0.04016185277272724
trans_803,1928-01-01,0.037799651164432936
trans_803,1929-01-01,0.03992198327369228
trans_803,1930-01-01,0.03349205510071508
trans_977,1926-01-01,0.037736374596109505
trans_977,1927-01-01,0.02628672204572332
trans_977,1928-01-01,0.02467565475863344
trans_977,1929-01-01,0.027236173896792108
trans_977,1930-01-01,0.022647659901761676
trans_1214,1926-01-01,0.037221706511552426
trans_1214,1927-01-01,0.023972931904225326
trans_1214,1928-01-01,0.022496870141733134
trans_1214,1929-01-01,0.024795980612111343
trans_1214,1930-01-01,0.02170800893980698
trans_1593,1926-01-01,0.033558922367261004
trans_1593,1927-01-01,0.026371003055206333
trans_1593,1928-01-01,0.020015750197360523
trans_1593,1929-01-01,0.020841291129417763
trans_1593,1930-01-01,0.019690966020592882
