variable,month,values
trans_350,1905-01-01,NA
trans_350,1906-01-01,NA
trans_350,1908-01-01,NA
trans_350,1909-01-01,0.6396285714285714
trans_350,1910-01-01,0.6301217391304348
trans_350,1911-01-01,0.6309017857142857
trans_350,1912-01-01,0.5394455445544555
trans_350,1913-01-01,0.5669230769230769
trans_350,1914-01-01,0.5808941176470588
trans_350,1915-01-01,0.5850392156862745
trans_350,1916-01-01,0.5868571428571429
trans_350,1917-01-01,0.5806031746031746
trans_350,1918-01-01,0.5767857142857142
trans_350,1919-01-01,0.6288688524590164
trans_350,1920-01-01,0.6178372093023256
trans_400,1905-01-01,0.7316610169491525
trans_400,1906-01-01,0.7442741935483871
trans_400,1908-01-01,0.7052946428571428
trans_400,1909-01-01,0.7345473684210526
trans_400,1910-01-01,0.7340689655172413
trans_400,1911-01-01,0.7367232142857143
trans_400,1912-01-01,0.6622079207920792
trans_400,1913-01-01,0.6996282051282051
trans_400,1914-01-01,0.7253411764705883
trans_400,1915-01-01,0.7274901960784314
trans_400,1916-01-01,0.7162738095238095
trans_400,1917-01-01,0.708920634920635
trans_400,1918-01-01,0.7106071428571429
trans_400,1919-01-01,0.729796875
trans_400,1920-01-01,0.7173953488372093
trans_450,1905-01-01,0.8067627118644067
trans_450,1906-01-01,0.8119516129032258
trans_450,1908-01-01,0.7886964285714286
trans_450,1909-01-01,0.8115368421052631
trans_450,1910-01-01,0.8169827586206897
trans_450,1911-01-01,0.8163928571428571
trans_450,1912-01-01,0.7396336633663366
trans_450,1913-01-01,0.7824615384615384
trans_450,1914-01-01,0.8100117647058823
trans_450,1915-01-01,0.8124019607843137
trans_450,1916-01-01,0.7951428571428572
trans_450,1917-01-01,0.7905555555555556
trans_450,1918-01-01,0.79325
trans_450,1919-01-01,0.79615625
trans_450,1920-01-01,0.7952790697674419
trans_500,1905-01-01,0.8516779661016949
trans_500,1906-01-01,0.8527903225806451
trans_500,1908-01-01,0.8360446428571429
trans_500,1909-01-01,0.8602
trans_500,1910-01-01,0.8707241379310344
trans_500,1911-01-01,0.8714732142857143
trans_500,1912-01-01,0.78951485148514855
trans_500,1913-01-01,0.8288076923076922
trans_500,1914-01-01,0.8563529411764705
trans_500,1915-01-01,0.8627450980392157
trans_500,1916-01-01,0.8465119047619047
trans_500,1917-01-01,0.8393968253968254
trans_500,1918-01-01,0.8453928571428572
trans_500,1919-01-01,0.84290625
trans_500,1920-01-01,0.8485581395348837
trans_600,1905-01-01,0.9023050847457628
trans_600,1906-01-01,0.9026612903225807
trans_600,1908-01-01,0.8698928571428571
trans_600,1909-01-01,0.8912736842105263
trans_600,1910-01-01,0.9014568965517241
trans_600,1911-01-01,0.9000535714285715
trans_600,1912-01-01,0.8274851485148514
trans_600,1913-01-01,0.8640897435897436
trans_600,1914-01-01,0.8882117647058824
trans_600,1915-01-01,0.8953333333333333
trans_600,1916-01-01,0.8802380952380953
trans_600,1917-01-01,0.8745238095238095
trans_600,1918-01-01,0.8786428571428572
trans_600,1919-01-01,0.880640625
trans_600,1920-01-01,0.8798372093023256
trans_700,1905-01-01,0.9380847457627118
trans_700,1906-01-01,0.9349999999999999
trans_700,1908-01-01,0.9200892857142857
trans_700,1909-01-01,0.9399894736842105
trans_700,1910-01-01,0.9479051724137931
trans_700,1911-01-01,0.9500535714285714
trans_700,1912-01-01,0.8797425742574257
trans_700,1913-01-01,0.9188461538461539
trans_700,1914-01-01,0.9377529411764706
trans_700,1915-01-01,0.9483529411764705
trans_700,1916-01-01,0.9319285714285714
trans_700,1917-01-01,0.9278095238095238
trans_700,1918-01-01,0.9349464285714285
trans_700,1919-01-01,0.92934375
trans_700,1920-01-01,0.9344883720930233
trans_800,1905-01-01,0.9575762711864406
trans_800,1906-01-01,0.9516612903225806
trans_800,1908-01-01,0.9412321428571429
trans_800,1909-01-01,0.9583999999999999
trans_800,1910-01-01,0.9684913793103448
trans_800,1911-01-01,0.9700624999999999
trans_800,1912-01-01,0.9073762376237624
trans_800,1913-01-01,0.9436923076923077
trans_800,1914-01-01,0.9591666666666666
trans_800,1915-01-01,0.9674411764705882
trans_800,1916-01-01,0.9543928571428572
trans_800,1917-01-01,0.9511269841269842
trans_800,1918-01-01,0.9584107142857142
trans_800,1919-01-01,0.953625
trans_800,1920-01-01,0.9613953488372093
trans_1000,1905-01-01,0.972406779661017
trans_1000,1906-01-01,0.9663387096774193
trans_1000,1908-01-01,0.9526785714285714
trans_1000,1909-01-01,0.9679684210526316
trans_1000,1910-01-01,0.9776896551724138
trans_1000,1911-01-01,0.9781351351351352
trans_1000,1912-01-01,0.9304455445544554
trans_1000,1913-01-01,0.9623589743589743
trans_1000,1914-01-01,0.9733058823529411
trans_1000,1915-01-01,0.9790588235294118
trans_1000,1916-01-01,0.9697619047619047
trans_1000,1917-01-01,0.9659682539682539
trans_1000,1918-01-01,0.9705178571428571
trans_1000,1919-01-01,0.9718749999999999
trans_1000,1920-01-01,0.9749534883720931
trans_1200,1905-01-01,0.9769152542372881
trans_1200,1906-01-01,0.9711774193548387
trans_1200,1908-01-01,0.9555
trans_1200,1909-01-01,0.9668631578947369
trans_1200,1910-01-01,0.9754224137931035
trans_1200,1911-01-01,0.974936936936937
trans_1200,1912-01-01,0.9386237623762376
trans_1200,1913-01-01,0.9687051282051282
trans_1200,1914-01-01,0.9767764705882352
trans_1200,1915-01-01,0.9822941176470588
trans_1200,1916-01-01,0.9745238095238095
trans_1200,1917-01-01,0.9702222222222222
trans_1200,1918-01-01,0.9728214285714285
trans_1200,1919-01-01,0.975109375
trans_1200,1920-01-01,0.9739302325581395
trans_1600,1905-01-01,0.9784745762711864
trans_1600,1906-01-01,0.9759677419354839
trans_1600,1908-01-01,0.9607053571428571
trans_1600,1909-01-01,0.9722736842105263
trans_1600,1910-01-01,0.9766982758620689
trans_1600,1911-01-01,0.9778532110091743
trans_1600,1912-01-01,0.9477029702970297
trans_1600,1913-01-01,0.9739615384615384
trans_1600,1914-01-01,0.9802470588235294
trans_1600,1915-01-01,0.9842745098039215
trans_1600,1916-01-01,0.978845238095238
trans_1600,1917-01-01,0.9744920634920635
trans_1600,1918-01-01,0.9757321428571428
trans_1600,1919-01-01,0.9822857142857143
trans_1600,1920-01-01,0.9811951219512195
