variable,month,values
trans_348,1925-01-01,0.4335287436772719
trans_348,1926-01-01,0.4615418876018661
trans_348,1927-01-01,0.42401451437505266
trans_348,1928-01-01,0.4411272804307806
trans_348,1929-01-01,0.4598892750641457
trans_348,1930-01-01,0.4533181572483119
trans_348,NA,0.4541302800894454
trans_391,1925-01-01,0.29036860706079204
trans_391,1926-01-01,0.3371442283591037
trans_391,1927-01-01,0.31477539747358896
trans_391,1928-01-01,0.32364260718444054
trans_391,1929-01-01,0.33937384053554526
trans_391,1930-01-01,0.3297950564246622
trans_391,NA,0.3051673867928005
trans_446,1925-01-01,0.18799399184733437
trans_446,1926-01-01,0.21637203993419685
trans_446,1927-01-01,0.19832049691595263
trans_446,1928-01-01,0.20140081561697773
trans_446,1929-01-01,0.2165904160341033
trans_446,1930-01-01,0.20696522310172497
trans_446,NA,0.18874212459687742
trans_497,1925-01-01,0.12267890528780144
trans_497,1926-01-01,0.15682296137550256
trans_497,1927-01-01,0.1408301704895243
trans_497,1928-01-01,0.14199820913227726
trans_497,1929-01-01,0.15346161198251587
trans_497,1930-01-01,0.14820436635854448
trans_497,NA,0.1346749033266016
trans_615,1925-01-01,0.08001497167442853
trans_615,1926-01-01,0.11838594562399636
trans_615,1927-01-01,0.09649325378312745
trans_615,1928-01-01,0.0971424245264907
trans_615,1929-01-01,0.10906240989111837
trans_615,1930-01-01,0.10310620295288372
trans_615,NA,0.09761282886700041
trans_724,1925-01-01,0.03000799756105643
trans_724,1926-01-01,0.053266806490876055
trans_724,1927-01-01,0.0461239774673338
trans_724,1928-01-01,0.04329354259273839
trans_724,1929-01-01,0.05263884934647578
trans_724,1930-01-01,0.04781231887300789
trans_724,NA,0.040821994520255166
trans_817,1925-01-01,0.021796396040478446
trans_817,1926-01-01,0.0384538269328832
trans_817,1927-01-01,0.030837920916143784
trans_817,1928-01-01,0.03650156237087062
trans_817,1929-01-01,0.038657287143173596
trans_817,1930-01-01,0.03501113308849126
trans_817,NA,0.030459207484708574
trans_994,1925-01-01,0.014441961432384043
trans_994,1926-01-01,0.027542013352951106
trans_994,1927-01-01,0.021628399451105375
trans_994,1928-01-01,0.022383722750939066
trans_994,1929-01-01,0.0272207215619078
trans_994,1930-01-01,0.024393871279993155
trans_994,NA,0.019182819416773987
trans_1225,1925-01-01,0.017604158753253826
trans_1225,1926-01-01,0.03004122236372464
trans_1225,1927-01-01,0.025593529351314752
trans_1225,1928-01-01,0.02846657141733781
trans_1225,1929-01-01,0.02611094110688736
trans_1225,1930-01-01,0.023718890261607915
trans_1225,NA,0.01816397062767118
trans_1600,1925-01-01,0.00859452696620461
trans_1600,1926-01-01,0.016044539185720297
trans_1600,1927-01-01,0.01721734933436917
trans_1600,1928-01-01,0.01797262481034333
trans_1600,1929-01-01,0.021649664059470584
trans_1600,1930-01-01,0.020595441542635748
trans_1600,NA,0.01816397062767118
