variable,month,values
trans_400,1902-01-01,NA
trans_400,1903-01-01,0.6674883533256711
trans_400,1904-01-01,0.7324684021980562
trans_400,1905-01-01,0.5882961768698114
trans_400,1906-01-01,0.6410036985754403
trans_400,1907-01-01,0.5722853664004642
trans_450,1902-01-01,NA
trans_450,1903-01-01,0.5221287697559742
trans_450,1904-01-01,0.508941867271308
trans_450,1905-01-01,0.40136711375013684
trans_450,1906-01-01,0.42778746162688563
trans_450,1907-01-01,0.46839454854686546
trans_500,1902-01-01,0.2819130253077368
trans_500,1903-01-01,0.4291688762967895
trans_500,1904-01-01,0.40303292455735756
trans_500,1905-01-01,0.3306889442177824
trans_500,1906-01-01,0.3280276441279787
trans_500,1907-01-01,0.34562213777948725
trans_600,1902-01-01,0.23179121910694583
trans_600,1903-01-01,0.34605575652014986
trans_600,1904-01-01,0.3042615517822264
trans_600,1905-01-01,0.2618206358522819
trans_600,1906-01-01,0.23030281709523392
trans_600,1907-01-01,0.2794757734063387
trans_700,1902-01-01,0.1510032161297488
trans_700,1903-01-01,0.24267198516545138
trans_700,1904-01-01,0.2222577126487361
trans_700,1905-01-01,0.17428035103962827
trans_700,1906-01-01,0.14957283158073195
trans_700,1907-01-01,0.18409093789338807
trans_800,1902-01-01,0.11670218768690015
trans_800,1903-01-01,0.19500453137237386
trans_800,1904-01-01,0.1636419425200991
trans_800,1905-01-01,0.13304186667969428
trans_800,1906-01-01,0.11414747147150961
trans_800,1907-01-01,0.14451352035214954
trans_900,1902-01-01,0.09815500824953773
trans_900,1903-01-01,0.17323824222418338
trans_900,1904-01-01,0.12030409037007259
trans_900,1905-01-01,0.108064862833016
trans_900,1906-01-01,0.09654494847456659
trans_900,1907-01-01,0.10991828295789625
trans_1000,1902-01-01,0.08718219961571837
trans_1000,1903-01-01,0.15073199447665306
trans_1000,1904-01-01,0.10672091078453926
trans_1000,1905-01-01,0.09580107725394411
trans_1000,1906-01-01,0.08555155970289947
trans_1000,1907-01-01,0.08421825156286607
trans_1200,1902-01-01,0.0762522586747214
trans_1200,1903-01-01,0.12964883250894788
trans_1200,1904-01-01,0.10428060717439089
trans_1200,1905-01-01,0.07958229230471785
trans_1200,1906-01-01,0.07630452389136015
trans_1200,1907-01-01,0.06935263796538965
trans_1600,1902-01-01,0.05489532724754704
trans_1600,1903-01-01,0.09362491720929801
trans_1600,1904-01-01,0.07401931732581721
trans_1600,1905-01-01,0.08846732746147237
trans_1600,1906-01-01,0.0787990709964593
trans_1600,1907-01-01,0.05918617269790871
