variable,month,values
trans_349,1918-01-01,0.4861973765403891
trans_349,1919-01-01,0.49670562818767316
trans_349,1920-01-01,0.5067368184319293
trans_395,1918-01-01,0.3269276063694911
trans_395,1919-01-01,0.3309468205694581
trans_395,1920-01-01,0.33885234781670115
trans_450,1918-01-01,0.21420207648239034
trans_450,1919-01-01,0.2077888485010098
trans_450,1920-01-01,0.21826460075917087
trans_499,1918-01-01,0.15932167485957924
trans_499,1919-01-01,0.15264162215530583
trans_499,1920-01-01,0.1616587868128091
trans_621,1918-01-01,0.11304872661690767
trans_621,1919-01-01,0.10309067279850692
trans_621,1920-01-01,0.10929625629200128
trans_714,1918-01-01,0.07626617418573103
trans_714,1919-01-01,0.0705949141707442
trans_714,1920-01-01,0.07827441372912797
trans_803,1918-01-01,0.05058349364766476
trans_803,1919-01-01,0.042845597270203255
trans_803,1920-01-01,0.04966927323450446
trans_977,1918-01-01,0.04000179973598747
trans_977,1919-01-01,0.03051711339850542
trans_977,1920-01-01,0.037396050750465905
trans_1214,1918-01-01,0.038058008544868696
trans_1214,1919-01-01,0.03152521765254257
trans_1214,1920-01-01,0.037634117663554005
trans_1593,1918-01-01,0.0341928176007407
trans_1593,1919-01-01,0.026188186244882842
trans_1593,1920-01-01,0.03173320336587303
