Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Calama,NA,0.355,0.614,0.403,0.731,0.46,0.806,0.511,0.862,0.637,0.903,0.702,0.938,0.83,0.953,1.008,0.96,1.244,0.964,1.61,0.973,1918-07-27,1
Calama,NA,0.355,0.605,0.403,0.704,0.46,0.816,0.511,0.852,0.637,0.864,0.702,0.935,0.83,0.956,1.008,0.964,1.244,0.954,1.61,0.97,1918-07-28,2
Calama,NA,0.355,0.601,0.403,0.717,0.46,0.806,0.511,0.857,0.637,0.9,0.702,0.93,0.83,0.963,1.008,0.97,1.244,0.967,1.61,0.97,1918-07-29,3
Calama,NA,0.355,0.6,0.403,0.706,0.46,0.803,0.511,0.835,0.637,0.892,0.702,0.934,0.83,0.96,1.008,0.968,1.244,0.976,1.61,0.986,1918-07-30,4
Calama,NA,0.355,0.616,0.403,0.729,0.46,0.82,0.511,0.859,0.637,0.903,0.702,0.936,0.83,0.965,1.008,0.977,1.244,0.973,1.61,0.976,1918-07-31,5
Calama,NA,0.355,0.618,0.403,0.736,0.46,0.821,0.511,0.875,0.637,0.911,0.702,0.94,0.83,0.972,1.008,0.973,1.244,0.977,1.61,0.978,1918-08-01,6
Calama,NA,0.355,0.629,0.403,0.736,0.46,0.814,0.511,0.868,0.637,0.906,0.702,0.932,0.83,0.954,1.008,0.969,1.244,0.976,1.61,0.97,1918-08-03,7
Calama,NA,0.355,0.625,0.403,0.736,0.46,0.804,0.511,0.845,0.637,0.905,0.702,0.933,0.83,0.951,1.008,0.971,1.244,0.968,1.61,0.969,1918-08-04,8
Calama,NA,0.355,0.627,0.403,0.74,0.46,0.812,0.511,0.865,0.637,0.906,0.702,0.936,0.83,0.961,1.008,0.967,1.244,0.974,1.61,0.982,1918-08-05,9
Calama,NA,0.355,0.622,0.403,0.733,0.46,0.82,0.511,0.862,0.637,0.904,0.702,0.936,0.83,0.952,1.008,0.962,1.244,0.973,1.61,0.97,1918-08-06,10
