Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Hump Mountain,NA,0.355,0.564,0.403,0.716,0.46,0.804,0.511,0.845,0.637,0.9,0.702,0.937,0.83,0.963,1.008,0.97,1.244,0.981,1.61,0.984,1917-06-17,1
Hump Mountain,NA,0.355,0.619,0.403,0.672,0.46,0.754,0.511,0.769,0.637,0.847,0.702,0.89,0.83,0.929,1.008,0.957,1.244,0.965,1.61,0.96,1917-06-18,2
Hump Mountain,NA,0.355,0.562,0.403,0.678,0.46,0.764,0.511,0.825,0.637,0.877,0.702,0.908,0.83,0.948,1.008,0.95,1.244,0.952,1.61,0.979,1917-06-30,3
Hump Mountain,NA,0.355,0.593,0.403,0.656,0.46,0.761,0.511,0.812,0.637,0.858,0.702,0.903,0.83,0.939,1.008,0.954,1.244,0.961,1.61,0.962,1917-07-01,4
Hump Mountain,NA,0.355,0.505,0.403,0.617,0.46,0.708,0.511,0.775,0.637,0.832,0.702,0.875,0.83,0.93,1.008,0.945,1.244,0.939,1.61,0.976,1917-07-02,5
Hump Mountain,NA,0.355,0.564,0.403,0.654,0.46,0.746,0.511,0.799,0.637,0.856,0.702,0.895,0.83,0.939,1.008,0.944,1.244,0.94,1.61,0.969,1917-08-04,6
Hump Mountain,NA,0.355,0.466,0.403,0.575,0.46,0.669,0.511,0.717,0.637,0.814,0.702,0.864,0.83,0.924,1.008,0.942,1.244,0.945,1.61,0.973,1917-08-06,7
Hump Mountain,NA,0.355,0.472,0.403,0.532,0.46,0.648,0.511,0.708,0.637,0.801,0.702,0.855,0.83,0.89,1.008,0.931,1.244,0.943,1.61,0.966,1917-08-11,8
Hump Mountain,NA,0.355,0.625,0.403,0.69,0.46,0.791,0.511,0.845,0.637,0.89,0.702,0.932,0.83,0.956,1.008,0.971,1.244,0.978,1.61,0.985,1917-08-18,9
Hump Mountain,NA,0.355,0.544,0.403,0.641,0.46,0.734,0.511,0.794,0.637,0.865,0.702,0.894,0.83,0.92,1.008,0.932,1.244,0.936,1.61,0.976,1917-08-25,10
Hump Mountain,NA,0.355,0.605,0.403,0.718,0.46,0.815,0.511,0.858,0.637,0.897,0.702,0.943,0.83,0.965,1.008,0.976,1.244,0.97,1.61,0.974,1917-08-26,11
Hump Mountain,NA,0.355,0.5,0.403,0.583,0.46,0.704,0.511,0.735,0.637,0.815,0.702,0.857,0.83,0.91,1.008,0.929,1.244,0.943,1.61,0.964,1917-08-28,12
