Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Mount Brukkaros,NA,0.348,0.591,0.391,0.711,0.446,0.802,0.497,0.853,0.615,0.889,0.705,0.928,0.789,0.949,0.958,0.955,1.189,0.955,1.603,0.965,1926-12-09,1
Mount Brukkaros,NA,0.348,0.582,0.391,0.714,0.446,0.801,0.497,0.858,0.615,0.897,0.705,0.944,0.789,0.958,0.958,0.971,1.189,0.972,1.603,0.969,1926-12-10,2
Mount Brukkaros,NA,0.348,0.598,0.391,0.721,0.446,0.802,0.497,0.863,0.615,0.901,0.705,0.946,0.789,0.965,0.958,0.967,1.189,0.964,1.603,0.982,1927-01-05,3
Mount Brukkaros,NA,0.348,0.599,0.391,0.73,0.446,0.842,0.497,0.876,0.615,0.912,0.705,0.957,0.789,0.979,0.958,0.988,1.189,0.989,1.603,0.995,1927-01-06,4
Mount Brukkaros,NA,0.348,0.586,0.391,0.715,0.446,0.796,0.497,0.854,0.615,0.898,0.705,0.945,0.789,0.962,0.958,0.97,1.189,0.973,1.603,0.967,1927-01-07,5
Mount Brukkaros,NA,0.348,0.573,0.391,0.705,0.446,0.809,0.497,0.853,0.615,0.889,0.705,0.944,0.789,0.956,0.958,0.97,1.189,0.97,1.603,0.978,1927-01-08,6
Mount Brukkaros,NA,0.348,0.578,0.391,0.718,0.446,0.782,0.497,0.864,0.615,0.904,0.705,0.949,0.789,0.97,0.958,0.978,1.189,0.979,1.603,0.987,1927-02-02,7
Mount Brukkaros,NA,0.348,0.569,0.391,0.706,0.446,0.778,0.497,0.85,0.615,0.888,0.705,0.93,0.789,0.945,0.958,0.958,1.189,0.957,1.603,0.968,1927-02-03,8
Mount Brukkaros,NA,0.348,0.593,0.391,0.723,0.446,0.837,0.497,0.87,0.615,0.911,0.705,0.959,0.789,0.976,0.958,0.985,1.189,0.985,1.603,0.987,1927-03-13,9
Mount Brukkaros,NA,0.348,0.585,0.391,0.718,0.446,0.792,0.497,0.867,0.615,0.909,0.705,0.951,0.789,0.969,0.958,0.981,1.189,0.979,1.603,0.98,1927-03-14,10
Mount Brukkaros,NA,0.348,0.58,0.391,0.71,0.446,0.808,0.497,0.855,0.615,0.9,0.705,0.942,0.789,0.965,0.958,0.975,1.189,0.973,1.603,0.98,1927-03-22,11
Mount Brukkaros,NA,0.348,0.597,0.391,0.699,0.446,0.797,0.497,0.86,0.615,0.896,0.705,0.955,0.789,0.968,0.958,0.977,1.189,0.976,1.603,0.976,1927-04-04,12
Mount Brukkaros,NA,0.348,0.58,0.391,0.715,0.446,0.807,0.497,0.864,0.615,0.905,0.705,0.958,0.789,0.975,0.958,0.984,1.189,0.981,1.603,0.99,1927-04-18,13
Mount Brukkaros,NA,0.348,0.6,0.391,0.702,0.446,0.796,0.497,0.853,0.615,0.892,0.705,0.943,0.789,0.958,0.958,0.97,1.189,0.972,1.603,0.977,1927-04-26,14
Mount Brukkaros,NA,0.348,0.583,0.391,0.704,0.446,0.79,0.497,0.849,0.615,0.894,0.705,0.952,0.789,0.966,0.958,0.973,1.189,0.972,1.603,0.966,1927-04-27,15
Mount Brukkaros,NA,0.348,0.587,0.391,0.711,0.446,0.801,0.497,0.871,0.615,0.909,0.705,0.961,0.789,0.975,0.958,0.985,1.189,0.983,1.603,0.98,1927-04-29,16
Mount Brukkaros,NA,0.348,0.587,0.391,0.707,0.446,0.796,0.497,0.857,0.615,0.904,0.705,0.949,0.789,0.965,0.958,0.978,1.189,0.976,1.603,0.978,1927-05-07,17
Mount Brukkaros,NA,0.348,0.572,0.391,0.696,0.446,0.799,0.497,0.855,0.615,0.904,0.705,0.949,0.789,0.964,0.958,0.975,1.189,0.975,1.603,0.97,1927-05-08,18
Mount Brukkaros,NA,0.348,0.566,0.391,0.686,0.446,0.786,0.497,0.849,0.615,0.897,0.705,0.942,0.789,0.958,0.958,0.972,1.189,0.975,1.603,0.974,1927-05-10,19
Mount Brukkaros,NA,0.348,0.568,0.391,0.711,0.446,0.79,0.497,0.261,0.615,0.905,0.705,0.955,0.789,0.97,0.958,0.982,1.189,0.978,1.603,0.98,1927-05-13,20
Mount Brukkaros,NA,0.348,0.589,0.391,0.714,0.446,0.797,0.497,0.864,0.615,0.907,0.705,0.958,0.789,0.972,0.958,0.983,1.189,0.984,1.603,0.797,1927-05-15,21
Mount Brukkaros,NA,0.348,0.58,0.391,0.711,0.446,0.801,0.497,0.867,0.615,0.902,0.705,0.954,0.789,0.967,0.958,0.979,1.189,0.98,1.603,0.979,1927-05-17,22
Mount Brukkaros,NA,0.348,0.565,0.391,0.71,0.446,0.783,0.497,0.859,0.615,0.9,0.705,0.95,0.789,0.965,0.958,0.975,1.189,0.975,1.603,0.982,1927-05-18,23
Mount Brukkaros,NA,0.348,0.592,0.391,0.701,0.446,0.795,0.497,0.858,0.615,0.902,0.705,0.944,0.789,0.962,0.958,0.974,1.189,0.974,1.603,0.978,1927-05-19,24
Mount Brukkaros,NA,0.348,0.575,0.391,0.694,0.446,0.767,0.497,0.844,0.615,0.896,0.705,0.94,0.789,0.958,0.958,0.971,1.189,0.973,1.603,0.978,1927-05-20,25
Mount Brukkaros,NA,0.348,0.583,0.391,0.708,0.446,0.803,0.497,0.859,0.615,0.907,0.705,0.95,0.789,0.965,0.958,0.979,1.189,0.98,1.603,0.983,1927-05-22,26
Mount Brukkaros,NA,0.348,0.522,0.391,0.653,0.446,0.741,0.497,0.811,0.615,0.868,0.705,0.927,0.789,0.947,0.958,0.97,1.189,0.975,1.603,0.983,1927-05-30,27
Mount Brukkaros,NA,0.348,0.53,0.391,0.652,0.446,0.743,0.497,0.814,0.615,0.869,0.705,0.923,0.789,0.949,0.958,0.97,1.189,0.973,1.603,0.979,1927-05-31,28
Mount Brukkaros,NA,0.348,0.527,0.391,0.644,0.446,0.743,0.497,0.804,0.615,0.869,0.705,0.919,0.789,0.945,0.958,0.963,1.189,0.971,1.603,0.984,1927-06-01,29
Mount Brukkaros,NA,0.348,0.565,0.391,0.707,0.446,0.776,0.497,0.745,0.615,0.888,0.705,0.931,0.789,0.948,0.958,0.961,1.189,0.968,1.603,0.67,1927-06-05,30
Mount Brukkaros,NA,0.348,0.549,0.391,0.685,0.446,0.757,0.497,0.83,0.615,0.887,0.705,0.937,0.789,0.958,0.958,0.973,1.189,0.975,1.603,0.98,1927-06-10,31
Mount Brukkaros,NA,0.348,0.553,0.391,0.655,0.446,0.759,0.497,0.716,0.615,0.884,0.705,0.933,0.789,0.956,0.958,0.974,1.189,0.979,1.603,0.985,1927-06-11,32
Mount Brukkaros,NA,0.348,0.585,0.391,0.715,0.446,0.796,0.497,0.862,0.615,0.903,0.705,0.952,0.789,0.971,0.958,0.985,1.189,0.986,1.603,0.986,1927-06-16,33
Mount Brukkaros,NA,0.348,0.552,0.391,0.679,0.446,0.759,0.497,0.837,0.615,0.892,0.705,0.938,0.789,0.958,0.958,0.974,1.189,0.976,1.603,0.98,1927-06-17,34
Mount Brukkaros,NA,0.348,0.581,0.391,0.673,0.446,0.751,0.497,0.827,0.615,0.891,0.705,0.936,0.789,0.957,0.958,0.971,1.189,0.978,1.603,0.987,1927-06-18,35
Mount Brukkaros,NA,0.348,0.556,0.391,0.67,0.446,0.76,0.497,0.824,0.615,0.884,0.705,0.931,0.789,0.959,0.958,0.965,1.189,0.971,1.603,0.978,1927-06-09,36
Mount Brukkaros,NA,0.348,0.535,0.391,0.68,0.446,0.77,0.497,0.841,0.615,0.894,0.705,0.939,0.789,0.958,0.958,0.972,1.189,0.972,1.603,0.98,1927-06-20,37
Mount Brukkaros,NA,0.348,0.566,0.391,0.69,0.446,0.768,0.497,0.835,0.615,0.892,0.705,0.936,0.789,0.958,0.958,0.97,1.189,0.973,1.603,0.982,1927-06-21,38
Mount Brukkaros,NA,0.348,0.555,0.391,0.65,0.446,0.761,0.497,0.82,0.615,0.882,0.705,0.935,0.789,0.955,0.958,0.974,1.189,0.98,1.603,0.987,1927-06-25,39
Mount Brukkaros,NA,0.348,0.58,0.391,0.706,0.446,0.771,0.497,0.845,0.615,0.903,0.705,0.953,0.789,0.967,0.958,0.982,1.189,0.985,1.603,0.986,1927-07-02,40
Mount Brukkaros,NA,0.348,0.577,0.391,0.706,0.446,0.791,0.497,0.885,0.615,0.907,0.705,0.952,0.789,0.97,0.958,0.984,1.189,0.988,1.603,0.99,1927-07-03,41
Mount Brukkaros,NA,0.348,0.588,0.391,0.711,0.446,0.795,0.497,0.857,0.615,0.91,0.705,0.953,0.789,0.969,0.958,0.98,1.189,0.985,1.603,0.982,1927-07-04,42
Mount Brukkaros,NA,0.348,0.525,0.391,0.628,0.446,0.737,0.497,0.801,0.615,0.869,0.705,0.922,0.789,0.945,0.958,0.965,1.189,0.974,1.603,0.982,1927-07-05,43
Mount Brukkaros,NA,0.348,0.588,0.391,0.699,0.446,0.787,0.497,0.848,0.615,0.899,0.705,0.949,0.789,0.965,0.958,0.979,1.189,0.985,1.603,0.989,1927-07-07,44
Mount Brukkaros,NA,0.348,0.48,0.391,0.586,0.446,0.706,0.497,0.756,0.615,0.833,0.705,0.897,0.789,0.922,0.958,0.952,1.189,0.967,1.603,0.979,1927-07-08,45
Mount Brukkaros,NA,0.348,0.543,0.391,0.632,0.446,0.716,0.497,0.791,0.615,0.856,0.705,0.913,0.789,0.937,0.958,0.965,1.189,0.972,1.603,0.986,1927-07-10,46
Mount Brukkaros,NA,0.348,0.506,0.391,0.67,0.446,0.762,0.497,0.827,0.615,0.881,0.705,0.932,0.789,0.952,0.958,0.973,1.189,0.983,1.603,0.989,1927-07-11,47
Mount Brukkaros,NA,0.348,0.55,0.391,0.691,0.446,0.792,0.497,0.86,0.615,0.904,0.705,0.945,0.789,0.964,0.958,0.976,1.189,0.979,1.603,0.98,1927-07-13,48
Mount Brukkaros,NA,0.348,0.539,0.391,0.702,0.446,0.783,0.497,0.852,0.615,0.903,0.705,0.949,0.789,0.966,0.958,0.979,1.189,0.981,1.603,0.985,1927-07-14,49
Mount Brukkaros,NA,0.348,0.534,0.391,0.71,0.446,0.796,0.497,0.863,0.615,0.909,0.705,0.954,0.789,0.97,0.958,0.984,1.189,0.986,1.603,0.992,1927-07-15,50
Mount Brukkaros,NA,0.348,0.584,0.391,0.716,0.446,0.792,0.497,0.858,0.615,0.909,0.705,0.954,0.789,0.97,0.958,0.982,1.189,0.984,1.603,0.989,1927-07-16,51
Mount Brukkaros,NA,0.348,0.576,0.391,0.696,0.446,0.792,0.497,0.859,0.615,0.899,0.705,0.949,0.789,0.968,0.958,0.981,1.189,0.983,1.603,0.988,1927-07-17,52
Mount Brukkaros,NA,0.348,0.565,0.391,0.697,0.446,0.784,0.497,0.853,0.615,0.894,0.705,0.945,0.789,0.964,0.958,0.977,1.189,0.98,1.603,0.985,1927-07-23,53
