row,Date,lambda_400,lambda_450,lambda_500,lambda_600,lambda_700,lambda_800,lambda_900,lambda_1000,lambda_1200,lambda_1600,lambda_350,trans_400,trans_450,trans_500,trans_600,trans_700,trans_800,trans_900,trans_1000,trans_1200,trans_1600,trans_350
1,1905-06-06,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.711,0.8,0.868,0.922,0.957,0.971,0.979,0.98,0.984,0.978,NA
2,1905-06-07,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.755,0.814,0.854,0.905,0.935,0.958,0.973,0.98,0.986,0.995,NA
3,1905-06-13,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.734,0.805,0.943,0.885,0.914,0.945,0.961,0.968,0.975,0.98,NA
4,1905-06-14,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.765,0.832,0.875,0.924,0.953,0.97,0.978,0.983,0.987,0.994,NA
5,1905-06-17,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.736,0.81,0.862,0.904,0.935,0.959,0.975,0.98,0.98,0.978,NA
6,1905-06-20,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.682,0.756,0.751,0.869,0.918,0.942,0.955,0.963,0.972,0.981,NA
7,1905-06-23,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.798,0.845,0.894,0.97,0.985,0.993,0.993,0.995,0.996,0.996,NA
8,1905-06-26,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.727,0.803,0.853,0.925,0.97,0.99,0.995,0.995,0.995,0.99,NA
9,1905-06-28,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.78,0.843,0.886,0.932,0.962,0.974,0.98,0.982,0.985,0.986,NA
10,1905-07-03,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.773,0.845,0.885,0.935,0.96,0.97,0.973,0.974,0.975,0.975,NA
11,1905-07-06,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.655,0.766,0.832,0.89,0.927,0.946,0.959,0.97,0.974,0.981,NA
12,1905-07-10,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.711,0.788,0.834,0.889,0.923,0.951,0.964,0.97,0.975,0.982,NA
13,1905-07-11,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.689,0.792,0.846,0.902,0.938,0.961,0.975,0.977,0.977,0.974,NA
14,1905-07-12,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.736,0.803,0.847,0.903,0.943,0.957,0.966,0.975,0.983,0.986,NA
15,1905-07-19,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.735,0.794,0.837,0.895,0.921,0.936,0.95,0.955,0.962,0.97,NA
16,1905-07-21,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.73,0.785,0.832,0.884,0.928,0.948,0.957,0.965,0.969,0.974,NA
17,1905-07-22,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.763,0.812,0.842,0.91,0.95,0.968,0.975,0.98,0.986,0.989,NA
18,1905-07-25,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.71,0.778,0.822,0.878,0.91,0.939,0.95,0.955,0.962,0.972,NA
19,1905-07-25,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.68,0.775,0.83,0.891,0.93,0.946,0.956,0.963,0.965,0.97,NA
20,1905-07-28,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.725,0.788,0.839,0.9,0.926,0.942,0.95,0.955,0.96,0.97,NA
21,1905-07-31,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.711,0.755,0.82,0.885,0.925,0.945,0.959,0.965,0.97,0.978,NA
22,1905-08-03,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.696,0.773,0.829,0.894,0.931,0.955,0.966,0.972,0.98,0.983,NA
23,1905-08-09,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.715,0.78,0.827,0.882,0.919,0.94,0.955,0.964,0.973,0.985,NA
24,1905-08-10,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.745,0.829,0.872,0.886,0.945,0.96,0.969,0.975,0.98,0.985,NA
25,1905-08-11,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.735,0.804,0.85,0.894,0.94,0.967,0.977,0.981,0.985,0.99,NA
26,1905-08-11,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.711,0.79,0.831,0.882,0.925,0.95,0.963,0.969,0.97,0.975,NA
27,1905-08-14,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.726,0.808,0.856,0.91,0.94,0.955,0.965,0.97,0.974,0.975,NA
28,1905-08-17,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.755,0.84,0.89,0.906,0.96,0.97,0.974,0.977,0.981,0.983,NA
29,1905-08-18,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.71,0.767,0.817,0.87,0.922,0.95,0.955,0.953,0.956,0.955,NA
30,1905-08-21,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.728,0.794,0.836,0.902,0.937,0.952,0.959,0.965,0.971,0.946,NA
31,1905-08-22,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.776,0.846,0.884,0.927,0.95,0.96,0.968,0.97,0.976,0.98,NA
32,1905-08-24,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.687,0.779,0.834,0.899,0.94,0.959,0.969,0.975,0.98,0.986,NA
33,1905-08-25,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.795,0.85,0.874,0.909,0.931,0.946,0.952,0.954,0.954,0.946,NA
34,1905-08-25,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.706,0.785,0.835,0.885,0.921,0.946,0.961,0.97,0.978,0.991,NA
35,1905-08-29,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.765,0.816,0.86,0.912,0.946,0.962,0.97,0.97,0.979,0.981,NA
36,1905-08-30,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.73,0.811,0.868,0.915,0.943,0.96,0.972,0.978,0.984,0.99,NA
37,1905-08-30,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.695,0.78,0.838,0.897,0.943,0.969,0.982,0.986,0.986,0.986,NA
38,1905-09-05,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.664,0.771,0.823,0.878,0.928,0.951,0.964,0.971,0.98,0.986,NA
39,1905-09-08,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.705,0.778,0.827,0.885,0.925,0.948,0.962,0.97,0.972,0.971,NA
40,1905-09-08,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.652,0.723,0.78,0.846,0.897,0.934,0.95,0.955,0.964,0.965,NA
41,1905-09-11,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.7,0.796,0.841,0.895,0.942,0.968,0.978,0.981,0.983,0.982,NA
42,1905-09-13,0.4,0.45,0.5,0.6,0.7,0.8,0.9,1,1.2,1.6,0.35,0.705,0.793,0.839,0.888,0.92,0.945,0.96,0.966,0.969,0.975,NA
