Location,a.m.p.m,lambda1...m.,transmission1....100.,lambda2...m.,transmission2....100.,lambda3...m.,transmission3....100.,lambda4...m.,transmission4....100.,lambda5...m.,transmission5....100.,lambda6...m.,transmission6....100.,lambda7...m.,transmission7....100.,lambda8...m.,transmission8....100.,lambda9...m.,transmission9....100.,lambda10...m.,transmission10....100.,Date,row
Washington,p.m,0.4,NA,0.45,NA,0.5,0.7,0.6,0.78,0.7,0.84,0.8,0.87,0.9,0.89,1,0.9,1.2,0.91,1.6,0.93,1902-10-09,1
Washington,p.m,0.4,NA,0.45,NA,0.5,0.73,0.6,0.78,0.7,0.86,0.8,0.89,0.9,0.9,1,0.91,1.2,0.93,1.6,0.96,1902-10-15,2
Washington,p.m,0.4,NA,0.45,NA,0.5,0.84,0.6,0.82,0.7,0.88,0.8,0.91,0.9,0.93,1,0.94,1.2,0.94,1.6,0.95,1902-10-22,3
Washington,p.m,0.4,0.53,0.45,0.62,0.5,0.62,0.6,0.67,0.7,0.75,0.8,0.8,0.9,0.82,1,0.85,1.2,0.86,1.6,0.95,1903-02-19,4
Washington,p.m,0.4,0.47,0.45,0.5,0.5,0.57,0.6,0.66,0.7,0.72,0.8,0.76,0.9,0.79,1,0.81,1.2,0.84,1.6,0.88,1903-03-25,5
Washington,p.m,0.4,0.52,0.45,0.58,0.5,0.62,0.6,0.68,0.7,0.77,0.8,0.8,0.9,0.81,1,0.83,1.2,0.85,1.6,0.89,1903-03-26,6
Washington,p.m,0.4,0.46,0.45,0.49,0.5,0.56,0.6,0.66,0.7,0.72,0.8,0.76,0.9,0.77,1,0.8,1.2,0.83,1.6,0.88,1903-04-29,7
Washington,p.m,0.4,0.42,0.45,0.6,0.5,0.66,0.6,0.69,0.7,0.77,0.8,0.82,0.9,0.85,1,0.86,1.2,0.88,1.6,0.89,1903-07-07,8
Washington,p.m,0.4,0.39,0.45,0.52,0.5,0.6,0.6,0.59,0.7,0.78,0.8,0.84,0.9,0.86,1,0.87,1.2,0.89,1.6,0.9,1903-08-24,9
Washington,p.m,0.4,0.64,0.45,0.7,0.5,0.76,0.6,0.8,0.7,0.85,0.8,0.88,0.9,0.89,1,0.91,1.2,0.91,1.6,0.92,1903-10-14,10
Washington,p.m,0.4,0.52,0.45,0.59,0.5,0.65,0.6,0.75,0.7,0.8,0.8,0.82,0.9,0.84,1,0.85,1.2,0.88,1.6,0.91,1903-10-29,11
Washington,p.m,0.4,0.58,0.45,0.67,0.5,0.76,0.6,0.81,0.7,0.84,0.8,0.87,0.9,0.89,1,0.92,1.2,0.93,1.6,0.95,1903-02-07,12
Washington,p.m,0.4,0.67,0.45,0.71,0.5,0.75,0.6,0.8,0.7,0.86,0.8,0.89,0.9,0.9,1,0.91,1.2,0.92,1.6,0.94,1903-02-23,13
Washington,p.m,0.4,0.6,0.45,0.67,0.5,0.73,0.6,0.73,0.7,0.79,0.8,0.84,0.9,0.89,1,0.91,1.2,0.91,1.6,0.91,1904-01-27,14
Washington,p.m,0.4,0.42,0.45,0.55,0.5,0.58,0.6,0.59,0.7,0.7,0.8,0.78,0.9,0.84,1,0.89,1.2,0.92,1.6,0.95,1904-02-11,15
Washington,p.m,0.4,NA,0.45,0.54,0.5,0.68,0.6,0.73,0.7,0.74,0.8,0.83,0.9,0.88,1,0.88,1.2,0.89,1.6,0.94,1904-03-04,16
Washington,p.m,0.4,0.42,0.45,0.63,0.5,0.67,0.6,0.72,0.7,0.79,0.8,0.85,0.9,0.88,1,0.89,1.2,0.91,1.6,0.94,1904-04-04,17
Washington,p.m,0.4,0.35,0.45,0.55,0.5,0.71,0.6,0.79,0.7,0.83,0.8,0.86,0.9,0.89,1,0.9,1.2,0.92,1.6,0.95,1904-05-12,18
Washington,p.m,0.4,0.52,0.45,0.56,0.5,0.58,0.6,0.67,0.7,0.74,0.8,0.79,0.9,NA,1,NA,1.2,0.8,1.6,NA,1904-05-25,19
Washington,p.m,0.4,0.4,0.45,0.57,0.5,0.63,0.6,0.77,0.7,0.83,0.8,0.87,0.9,0.9,1,0.9,1.2,0.9,1.6,0.91,1904-05-28,20
Washington,p.m,0.4,0.55,0.45,0.65,0.5,0.72,0.6,0.81,0.7,0.86,0.8,0.88,0.9,0.89,1,0.9,1.2,0.9,1.6,0.9,1904-09-22,21
Washington,p.m,0.4,0.48,0.45,0.58,0.5,0.65,0.6,0.74,0.7,0.8,0.8,0.84,0.9,0.86,1,0.87,1.2,0.89,1.6,0.9,1904-10-05,22
Washington,p.m,0.4,0.6,0.45,0.72,0.5,0.78,0.6,0.86,0.7,0.9,0.8,0.93,0.9,0.94,1,0.95,1.2,0.97,1.6,0.98,1904-10-21,23
Washington,p.m,0.4,0.54,0.45,0.62,0.5,0.65,0.6,0.74,0.7,0.85,0.8,0.88,0.9,0.9,1,0.9,1.2,0.91,1.6,0.91,1904-11-16,24
Washington,p.m,0.4,0.59,0.45,0.72,0.5,0.77,0.6,0.78,0.7,0.85,0.8,0.9,0.9,0.9,1,0.9,1.2,0.9,1.6,0.92,1905-01-26,25
Washington,p.m,0.4,NA,0.45,0.66,0.5,0.69,0.6,0.76,0.7,0.83,0.8,0.85,0.9,0.87,1,0.88,1.2,0.97,1.6,0.93,1905-02-07,26
Washington,p.m,0.4,0.53,0.45,0.7,0.5,0.72,0.6,0.77,0.7,0.84,0.8,0.87,0.9,0.89,1,0.91,1.2,0.95,1.6,0.91,1905-02-14,27
Washington,p.m,0.4,0.53,0.45,0.71,0.5,0.68,0.6,0.76,0.7,0.82,0.8,0.88,0.9,0.92,1,0.92,1.2,0.9,1.6,0.84,1905-05-20,28
Washington,p.m,0.4,0.45,0.45,0.56,0.5,0.62,0.6,0.74,0.7,0.78,0.8,0.85,0.9,0.9,1,0.92,1.2,0.93,1.6,0.91,1905-06-03,29
Washington,p.m,0.4,0.55,0.45,0.7,0.5,0.79,0.6,0.81,0.7,0.93,0.8,0.93,0.9,0.95,1,0.95,1.2,0.93,1.6,0.93,1905-09-19,30
Washington,p.m,0.4,0.6,0.45,0.7,0.5,0.76,0.6,0.8,0.7,0.87,0.8,0.9,0.9,0.89,1,0.89,1.2,0.89,1.6,0.89,1905-09-26,31
Washington,p.m,0.4,0.64,0.45,0.66,0.5,0.74,0.6,0.77,0.7,0.82,0.8,0.83,0.9,0.85,1,0.87,1.2,0.88,1.6,0.9,1905-10-04,32
Washington,p.m,0.4,0.54,0.45,0.66,0.5,0.72,0.6,0.78,0.7,0.87,0.8,0.91,0.9,0.93,1,0.95,1.2,0.97,1.6,0.97,1905-11-01,33
Washington,p.m,0.4,0.59,0.45,0.64,0.5,0.71,0.6,0.73,0.7,0.8,0.8,0.84,0.9,0.88,1,0.9,1.2,0.92,1.6,0.96,1905-12-04,34
Washington,p.m,0.4,NA,0.45,0.7,0.5,0.75,0.6,0.79,0.7,0.82,0.8,0.89,0.9,0.91,1,0.94,1.2,0.95,1.6,0.97,1906-01-09,35
Washington,p.m,0.4,0.5,0.45,0.63,0.5,0.71,0.6,0.79,0.7,0.85,0.8,0.89,0.9,0.91,1,0.92,1.2,0.91,1.6,0.93,1906-02-15,36
Washington,p.m,0.4,NA,0.45,0.53,0.5,0.61,0.6,0.7,0.7,0.76,0.8,0.82,0.9,0.84,1,0.85,1.2,0.86,1.6,0.85,1906-05-24,37
Washington,p.m,0.4,0.45,0.45,0.61,0.5,0.74,0.6,0.8,0.7,0.89,0.8,0.89,0.9,0.9,1,0.91,1.2,0.95,1.6,0.93,1906-05-29,38
Washington,p.m,0.4,0.59,0.45,0.7,0.5,0.69,0.6,0.82,0.7,0.9,0.8,0.93,0.9,0.94,1,0.93,1.2,0.93,1.6,0.92,1906-11-06,39
Washington,p.m,0.4,0.58,0.45,0.76,0.5,0.82,0.6,0.87,0.7,0.94,0.8,0.94,0.9,0.95,1,0.96,1.2,0.97,1.6,0.95,1906-11-22,40
Washington,p.m,0.4,NA,0.45,0.66,0.5,0.74,0.6,0.8,0.7,0.88,0.8,0.89,0.9,0.91,1,0.92,1.2,0.92,1.6,NA,1906-12-26,41
Washington,p.m,0.4,0.71,0.45,0.77,0.5,0.84,0.6,0.87,0.7,0.9,0.8,0.93,0.9,0.94,1,0.96,1.2,0.96,1.6,0.96,1907-02-15,42
Washington,p.m,0.4,0.55,0.45,0.59,0.5,0.67,0.6,0.7,0.7,0.82,0.8,0.85,0.9,0.9,1,0.93,1.2,0.94,1.6,0.89,1907-05-13,43
Washington,p.m,0.4,0.46,0.45,0.54,0.5,0.63,0.6,0.71,0.7,0.78,0.8,0.82,0.9,0.85,1,0.87,1.2,0.9,1.6,0.98,1907-05-14,44
